slot, allocate quality, display quality,pose,delay, throughput, video size
1,1,0,(null),1.59401,7.867299,13934
2,1,0,(null),1.337969,9.373773,13934
3,1,5,(0 0 -3.2963104 63.50255),0.829219,15.128728,13934
4,1,5,(0 0 -3.2963104 63.50255),2.174948,5.7648287,13934
5,1,5,(0 0 -3.2963104 63.50255),0.0,0.0,13934
6,1,5,(0 0 -3.2963104 63.50255),0.0,0.0,13934
7,1,0,(null),0.0,0.0,13934
8,1,6,(0 0 -3.2963104 63.50255),0.0,0.0,13934
9,5,6,(0 0 -3.2963104 63.50255),13.640105,6.1141796,84792
10,5,6,(0 0 -3.2963104 63.50255),3.990521,12.849959,52670
11,1,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
12,1,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
13,2,6,(0 0 -3.2963104 63.50255),1.24698,15.829322,21124
14,3,6,(0 0 -3.2963104 63.50255),2.115573,15.090002,33313
15,6,6,(0 0 -3.2963104 63.50255),10.582969,12.7748,136584
16,6,6,(0 0 -3.2963104 63.50255),1.097864,37.78754,42860
17,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
18,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
19,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
20,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
21,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
22,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
23,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
24,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
25,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
26,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
27,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
28,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
29,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
30,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
31,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
32,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
33,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
34,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
35,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
36,6,6,(0 0 -3.8227997 63.651947),0.0,0.0,0
37,6,6,(0 0 -4.4809265 63.8387),0.0,0.0,0
38,6,6,(0 0 -4.8757935 63.950745),0.0,0.0,0
39,6,6,(0 0 -5.2706604 64.06279),0.0,0.0,0
40,6,6,(0 0 -6.200363 64.67801),0.0,0.0,0
41,6,6,(0 0 -6.744446 65.15996),0.0,0.0,0
42,6,6,(0 0 -6.69046 65.27826),0.0,0.0,0
43,6,6,(0 0 -6.8459473 65.51425),0.0,0.0,0
44,6,6,(0 0 -6.931183 65.765015),0.0,0.0,0
45,6,6,(0 0 -6.8515778 65.931885),0.0,0.0,0
46,6,6,(0 0 -6.826721 66.08278),0.0,0.0,0
47,6,6,(0 0 -6.7947083 66.26706),0.0,0.0,0
48,6,6,(0 0 -6.725525 66.36441),0.0,0.0,0
49,6,6,(0 0 -6.725464 66.340546),0.0,0.0,0
50,6,6,(0 0 -6.7317505 66.25905),0.0,0.0,0
51,6,6,(0 0 -6.71463 66.21083),0.0,0.0,0
52,6,6,(0 0 -6.715927 66.19055),0.0,0.0,0
53,6,6,(0 0 -6.8056335 65.96274),0.0,0.0,0
54,6,6,(0 0 -6.872162 65.71701),0.0,0.0,0
55,6,6,(0 0 -6.9482117 65.5889),0.0,0.0,0
56,6,6,(0 0 -7.0245056 65.44385),0.0,0.0,0
57,6,6,(0 0 -7.061142 65.29379),0.0,0.0,0
58,6,6,(0 0 -7.172928 65.10376),0.0,0.0,0
59,6,6,(0 0 -7.3021393 64.97183),0.0,0.0,0
60,6,6,(0 0 -7.3465424 64.79617),0.0,0.0,0
61,6,6,(0 0 -7.3258514 64.66647),0.0,0.0,0
62,6,6,(0 0 -7.2769165 64.56123),0.0,0.0,0
63,6,6,(0 0 -7.241684 64.39517),0.0,0.0,0
64,6,6,(0 0 -7.143997 64.24594),0.0,0.0,0
65,6,6,(0 0 -7.025177 64.09569),0.0,0.0,0
66,6,6,(0 0 -7.0000763 63.90677),0.0,0.0,0
67,6,6,(0 0 -7.0103455 63.75151),0.0,0.0,0
68,6,6,(0 0 -6.922409 63.6362),0.0,0.0,0
69,6,6,(0 0 -6.840393 63.481552),0.0,0.0,0
