quality,ts,
17,17,43735364,
25,17,33225937,
9,17,52394010,
1,17,53373385,
95625,17,21552604,
95633,17,23729583,
3881,17,17958750,
3889,17,21008282,
3897,17,25939323,
41809,17,17965364,
41817,17,22763594,
41801,17,20607657,
41793,17,16831719,
59529,17,19544635,
59537,17,22655521,
59521,17,17701354,
84521,17,21588281,
84529,17,45538073,
84513,17,19547396,
87057,17,21067396,
87049,17,23339740,
87041,17,17107656,
89473,17,17466927,
89481,17,18745834,
91521,17,18530989,
91529,17,23431093,
91545,17,22511875,
91537,17,26244531,
93609,17,17806302,
93601,17,18047552,
93625,17,19313229,
96577,17,25579636,
96601,17,22429322,
96585,17,21252916,
96593,17,22860052,
98297,17,23992708,
98273,17,22591666,
98281,17,23876458,
98289,17,19544687,
99705,17,22620521,
99681,17,24948438,
99689,17,21082969,
101225,17,23106667,
101233,17,24768646,
101241,17,22369791,
101217,17,26599739,
102761,17,17376042,
102769,17,20340521,
102777,17,17315677,
102753,17,22726771,
105361,17,20153489,
105369,17,21928698,
105353,17,18360573,
105345,17,17486198,
109569,17,19761250,
109577,17,20958802,
109585,17,18965156,
109593,17,24800885,
118353,17,24973489,
118361,17,24111719,
126193,17,29451458,
126201,17,32954636,
133041,17,20397656,
133049,17,25986979,
133297,17,22874479,
133305,17,30288177,
5233,17,24157084,
5241,17,25678229,
14481,17,22948385,
14489,17,32073386,
20721,17,21557865,
20561,17,24065833,
20569,17,30913333,
28273,17,21192605,
28281,17,29991250,
33521,17,22323490,
33529,17,34477083,
34737,17,21316302,
34745,17,26751510,
34833,17,26333229,
34841,17,33761458,
35793,17,23420729,
35801,17,29109948,
36753,17,20657656,
36761,17,22578698,
37745,17,21716302,
39441,17,23315052,
39449,17,30355937,
39505,17,47274948,
39513,17,89116355,
37753,17,16755000,
20729,17,18423281,
126417,17,21631302,
118345,17,23597917,
118337,17,39144270,
126185,17,28484531,
126177,17,94784531,
133033,17,29484635,
133025,17,44836979,
4961,17,28827135,
4969,17,39959479,
4985,17,78482291,
4977,17,77320365,
14297,17,24956979,
14273,17,31176823,
14281,17,34370989,
14289,17,21130364,
20521,17,25223281,
20529,17,29670730,
20513,17,110667500,
20537,17,47595312,
28225,17,37768177,
28233,17,41920834,
28241,17,44238385,
28249,17,23764479,
33481,17,22077031,
33489,17,30000521,
33497,17,23977708,
33473,17,26608333,
34689,17,23565886,
34697,17,32935834,
34705,17,15974115,
34713,17,15094427,
35705,17,36000989,
35681,17,26711354,
35689,17,22828490,
35697,17,17709948,
36649,17,14598802,
36641,17,18472395,
36657,17,15991771,
36665,17,16303489,
37609,17,17469844,
37601,17,19495730,
39345,17,16158854,
39337,17,17379583,
39353,17,15906250,
39329,17,15251562,
42353,17,14305208,
42345,17,15505312,
42337,17,15909843,
44265,17,16848593,
44257,17,14934896,
44273,17,18461406,
42497,17,16672135,
42505,17,15519219,
42513,17,16994063,
39585,17,22588906,
39593,17,18740417,
39361,17,20584688,
39369,17,20109011,
39377,17,15050417,
37633,17,17255729,
37641,17,15819792,
37649,17,17900104,
37729,17,15376666,
37737,17,15533333,
37745,17,15519323,
36737,17,17038333,
36745,17,14424688,
36753,17,18768333,
36865,17,16859740,
36873,17,15023959,
36881,17,15156042,
35905,17,15267760,
35913,17,16037969,
35921,17,18242292,
35937,17,14432083,
35945,17,14740625,
35953,17,14393750,
34913,17,16640573,
34921,17,16960469,
34945,17,14720521,
34953,17,15088854,
34961,17,14145313,
34929,17,18691354,
39601,17,17386406,
44281,17,17565260,
45089,17,18016563,
45097,17,19761458,
45105,17,16797552,
45113,17,19562917,
45865,17,18959219,
45873,17,15885885,
45857,17,13610625,
47137,17,19859323,
47145,17,20129063,
47153,17,16266198,
48145,17,14327083,
48137,17,19354843,
48129,17,15992135,
49057,17,15561198,
49065,17,19845520,
49073,17,16954636,
49081,17,14634270,
50033,17,15827865,
50041,17,17205885,
50025,17,14485677,
50017,17,16119427,
51945,17,18865468,
51953,17,15274739,
51961,17,16320312,
51937,17,17405208,
52137,17,18885937,
52145,17,15408750,
51985,17,18556562,
51977,17,19879062,
50065,17,14174896,
50057,17,17756823,
50121,17,16686459,
50129,17,14382291,
50153,17,19174948,
50161,17,15729896,
50217,17,16894792,
50225,17,17560729,
49193,17,14026459,
49201,17,20751875,
49225,17,16199427,
49233,17,19667292,
49289,17,20218437,
49297,17,17815157,
49321,17,18622604,
48297,17,17397552,
48305,17,14790521,
48329,17,17143594,
48337,17,17194583,
48361,17,14877917,
48369,17,15485990,
47369,17,15830209,
47377,17,16513229,
47401,17,17678229,
47409,17,15610157,
47433,17,15898854,
47441,17,15325364,
46345,17,16619531,
46377,17,15345000,
46385,17,14314375,
46409,17,16221406,
46417,17,15094583,
46441,17,15503073,
46449,17,16534166,
46353,17,18126823,
46313,17,19617083,
46321,17,17501093,
46281,17,15560417,
46289,17,14784323,
46249,17,19824115,
46257,17,16924792,
46217,17,19532083,
46225,17,17457552,
46185,17,15038646,
46193,17,16711042,
46153,17,16873021,
46161,17,15350990,
46089,17,17055157,
46097,17,16711354,
46057,17,14952553,
46065,17,14405990,
45961,17,15819896,
45969,17,16044323,
47241,17,17729010,
47249,17,13958906,
47177,17,15309792,
47185,17,14613177,
47337,17,13580990,
47345,17,15643698,
47145,17,14429636,
47153,17,13127343,
47137,17,16696355,
47161,17,17676875,
48137,17,16930052,
48145,17,17213229,
48129,17,13880209,
48153,17,18257239,
49057,17,16227083,
49065,17,17017344,
49073,17,14879375,
45857,17,17086146,
45881,17,22626615,
45865,17,20144636,
45873,17,13987761,
45105,17,16634531,
45113,17,16850260,
45097,17,17596354,
45089,17,15528073,
44265,17,16719635,
44273,17,14600677,
44281,17,14922656,
44257,17,18739063,
42345,17,15862343,
42353,17,18742812,
42361,17,14547865,
42337,17,16655000,
39337,17,19078750,
39345,17,20008594,
39353,17,16388645,
39329,17,15621302,
37609,17,16719479,
37617,17,19617604,
37625,17,15861614,
36649,17,17506094,
36657,17,16272969,
36665,17,13881198,
36641,17,15033907,
35705,17,14984479,
35697,17,19235364,
35681,17,16732968,
35689,17,16518645,
34689,17,18171354,
34697,17,16753386,
34713,17,16144166,
34705,17,16870313,
33473,17,17700781,
33481,17,14902083,
33489,17,16498698,
33497,17,18708593,
28233,17,15246302,
28241,17,14088750,
28249,17,15846667,
28225,17,16847552,
20529,17,14951719,
20537,17,17708021,
20513,17,16912708,
20521,17,19692552,
14273,17,13990053,
14281,17,13838594,
14289,17,15678906,
14297,17,15679687,
4969,17,19972709,
4977,17,18197552,
4985,17,14282083,
4961,17,16952084,
133025,17,16233802,
133033,17,15218646,
133041,17,14508802,
133049,17,14025208,
