quality,ts,
27,37,50422135,
37,37,51501719,
17,37,17494532,
7,37,51975573,
119547,37,16215157,
4867,37,19858125,
4857,37,21045261,
119537,37,60887083,
119557,37,57351406,
4877,37,17699114,
52267,37,19187968,
52277,37,18171615,
52257,37,19687760,
52247,37,14031979,
74417,37,17776407,
74427,37,16680208,
74407,37,18358333,
105667,37,16928438,
105657,37,20267604,
105647,37,21447343,
108827,37,18987916,
108817,37,21282396,
108807,37,13600782,
111857,37,16802917,
111847,37,19546719,
114407,37,18582187,
114417,37,18564688,
114437,37,15202291,
114427,37,16702656,
117017,37,19826615,
117027,37,20969636,
117037,37,18921302,
117007,37,19046615,
120737,37,18319844,
120727,37,20122760,
120757,37,19654114,
120747,37,20678125,
122877,37,20018021,
122847,37,22474792,
122857,37,19097656,
122867,37,15936980,
124637,37,24142344,
124607,37,29142136,
124617,37,31937553,
126537,37,20194010,
126547,37,24477292,
126557,37,22111355,
126527,37,23286563,
128457,37,17174739,
128467,37,20454062,
128477,37,20142813,
128447,37,17235625,
131707,37,20052709,
131717,37,20857605,
131697,37,19443334,
131687,37,13883906,
136967,37,20486823,
136977,37,20304896,
136987,37,19864219,
136997,37,23999114,
147947,37,20514792,
147957,37,21037969,
157757,37,20605885,
157747,37,23542761,
166317,37,19950312,
166307,37,22025729,
166627,37,17544323,
166637,37,17122500,
6557,37,18111511,
6547,37,20950104,
18107,37,19422187,
18117,37,20528177,
25917,37,18251771,
25907,37,22089010,
25717,37,17164635,
25707,37,20650677,
35357,37,18769219,
35347,37,21017708,
41907,37,19277083,
41917,37,19848437,
43437,37,19578281,
43427,37,23567292,
43557,37,21792500,
43547,37,23836667,
44747,37,20346770,
44757,37,23451354,
45947,37,18204375,
45957,37,18862188,
47187,37,20823854,
47197,37,22501875,
49307,37,21633750,
49317,37,20957604,
49387,37,19410573,
49397,37,20047448,
158027,37,18377604,
158037,37,18640990,
147937,37,21330365,
147927,37,19960885,
157737,37,21545313,
157727,37,23852500,
166297,37,19584219,
166287,37,18974687,
6207,37,17844531,
6217,37,20096719,
6227,37,21360052,
6237,37,16292604,
17877,37,18095886,
17847,37,22588386,
17857,37,23904167,
17867,37,18015729,
25667,37,20141666,
25657,37,25782864,
25647,37,16381406,
25677,37,19455937,
35287,37,17751146,
35297,37,22705990,
35307,37,28826614,
35317,37,20082084,
41857,37,19748698,
41867,37,23354583,
41877,37,18502343,
41847,37,19230781,
43377,37,19282865,
43367,37,21745365,
43387,37,18806927,
43397,37,16249427,
44607,37,17290521,
44617,37,15338750,
44637,37,25176510,
44627,37,14847031,
45807,37,15694843,
45817,37,17413230,
45827,37,15652396,
45837,37,19823229,
47017,37,16585677,
47027,37,18794114,
47007,37,15267969,
