quality,ts,
23,21,45628386,
33,21,57469740,
13,21,51418490,
3,21,78832448,
119533,21,18397604,
119543,21,16662864,
4853,21,18082292,
4863,21,22732969,
4873,21,21676928,
52273,21,23868020,
52263,21,25620677,
52253,21,20587552,
52243,21,21713542,
74413,21,23776042,
74423,21,24754010,
74403,21,22061771,
52253,21,67401406,
105663,21,26600573,
105653,21,34370208,
105643,21,20700104,
108813,21,20149583,
108823,21,29274896,
108803,21,21437916,
111843,21,18222396,
111853,21,19980781,
114403,21,23438073,
114413,21,25925313,
114433,21,23486302,
114423,21,28159323,
117023,21,20497812,
117013,21,27754583,
117003,21,21582657,
117033,21,21286875,
120723,21,19250313,
120753,21,19688490,
120733,21,21131875,
120743,21,22570886,
122873,21,23558645,
122843,21,26447500,
122853,21,20931666,
122863,21,22557656,
124633,21,23990990,
124603,21,22291927,
124613,21,18649531,
126543,21,21046198,
126533,21,30921510,
126553,21,26284792,
126523,21,30673698,
128453,21,20013542,
128473,21,25021094,
128463,21,30090000,
128443,21,17896875,
131703,21,22110000,
131713,21,23400416,
131693,21,25801719,
131683,21,21249531,
136963,21,16688906,
136973,21,18314740,
136983,21,15801875,
136993,21,24636146,
147943,21,20779948,
147953,21,26179063,
157743,21,22021927,
157753,21,20373854,
166313,21,20064063,
166303,21,31253594,
166633,21,20202083,
166623,21,28256354,
6553,21,18713594,
6543,21,28272708,
18103,21,20847552,
18113,21,20912969,
25903,21,23263385,
25913,21,23173802,
25703,21,23803177,
25713,21,25897813,
35343,21,21557396,
35353,21,21915938,
41903,21,25328073,
41913,21,21689219,
43423,21,18969480,
43433,21,23442344,
43553,21,21909844,
43543,21,32198698,
44743,21,22311823,
44753,21,24160990,
45943,21,20444948,
45953,21,24790000,
47183,21,22660625,
47193,21,22444062,
49303,21,20487760,
49313,21,24960521,
49383,21,20122396,
49393,21,23205990,
158023,21,23785000,
158033,21,25567239,
147933,21,23269636,
147923,21,20636197,
157733,21,21709739,
157723,21,22956615,
166283,21,23707239,
166293,21,20093438,
6203,21,36119010,
6213,21,33020834,
6223,21,33783229,
6233,21,41601718,
17873,21,24106875,
17843,21,26135260,
17853,21,18741875,
17863,21,18229011,
25653,21,23700938,
25663,21,26512031,
25643,21,21963750,
25673,21,22340520,
35283,21,21486615,
35293,21,27757031,
35303,21,25371823,
35313,21,25201094,
41853,21,20876145,
41863,21,28661615,
41873,21,19900521,
41843,21,21935521,
43363,21,14474635,
43383,21,15197761,
43373,21,17742292,
43393,21,15144427,
44633,21,35049323,
44613,21,22491562,
44603,21,30463437,
44623,21,21729375,
45813,21,14503125,
45803,21,17958907,
45823,21,14195521,
45833,21,16949896,
47013,21,16285781,
47023,21,16348177,
47003,21,13238490,
49183,21,16169844,
49173,21,14520833,
49193,21,16342135,
49163,21,17057083,
52923,21,16974583,
52933,21,16693125,
52943,21,23084531,
55333,21,18509375,
55323,21,19507396,
55343,21,18617188,
53123,21,20034896,
53133,21,15808073,
53143,21,22304011,
49483,21,19181042,
49493,21,19406355,
49503,21,21993021,
49203,21,18018125,
49223,21,16774740,
49213,21,19178750,
47043,21,17748333,
47053,21,16030938,
47063,21,18743021,
47163,21,15299843,
47173,21,21273021,
47183,21,15211875,
45923,21,15961719,
45933,21,17037917,
45943,21,18469167,
46083,21,15698646,
46093,21,20967031,
46103,21,18660573,
44883,21,17738229,
44893,21,17236927,
44903,21,15950052,
44923,21,17371562,
44933,21,14856511,
44943,21,20643333,
43643,21,17387344,
43653,21,16413073,
43663,21,19448594,
43683,21,17176354,
43693,21,15346093,
43703,21,19662656,
55353,21,17801198,
56363,21,20163802,
56373,21,19160885,
56383,21,16123958,
56393,21,15137396,
57333,21,15213021,
57343,21,19268750,
57323,21,17208021,
58923,21,19935833,
58933,21,17630053,
58943,21,15681303,
60173,21,16202812,
60183,21,15721719,
60163,21,14561407,
61323,21,19992865,
61333,21,16525417,
61343,21,19652761,
61353,21,13964688,
62543,21,16564115,
62553,21,14189063,
62533,21,17252709,
62523,21,15768854,
64933,21,17684739,
64943,21,15151927,
64953,21,14792240,
64923,21,15183073,
65173,21,19395729,
65183,21,17418125,
64973,21,16392031,
62573,21,15930781,
62583,21,14196459,
62653,21,14403698,
62663,21,13796927,
62693,21,16266146,
62703,21,15146979,
62773,21,15292552,
62783,21,15874167,
61493,21,15589115,
61503,21,16815573,
61533,21,16021406,
61543,21,17367760,
61613,21,16423750,
61623,21,15869531,
61653,21,15997396,
60373,21,14715573,
60383,21,14694062,
60413,21,15345052,
60423,21,14777291,
60453,21,14976979,
60463,21,14236823,
59213,21,15650521,
59223,21,15370052,
59253,21,16172188,
59263,21,13690573,
59293,21,14496146,
59303,21,14124739,
57933,21,16661406,
57943,21,15977031,
57973,21,14978802,
57983,21,14199948,
58013,21,17315938,
58023,21,16474063,
58053,21,14876875,
58063,21,13752708,
57893,21,16878021,
57903,21,17575520,
57853,21,15096094,
57863,21,15433541,
57813,21,19103698,
57823,21,16705364,
57773,21,18480521,
57783,21,16440781,
57733,21,14200677,
57743,21,14769479,
57693,21,18474687,
57703,21,15895833,
57613,21,15678854,
57623,21,19654531,
57573,21,18664271,
57583,21,16571302,
57453,21,18241823,
57463,21,16331094,
59053,21,16013750,
59063,21,14450781,
58973,21,19033906,
58983,21,18784844,
59173,21,16953958,
59183,21,18005678,
58933,21,16860104,
58943,21,19809531,
58923,21,20441511,
58953,21,19040000,
60173,21,19827552,
60183,21,20977553,
60163,21,17849427,
60193,21,16880260,
61323,21,18656145,
61333,21,16966042,
61343,21,13971510,
57333,21,20009636,
57343,21,17895729,
57323,21,17550000,
57353,21,22187292,
56383,21,17374011,
56393,21,16918750,
56373,21,16845521,
56363,21,13392343,
55333,21,17004479,
55343,21,20022656,
55353,21,14978229,
55323,21,18412969,
52933,21,13989532,
52943,21,17129062,
52953,21,14173386,
52923,21,15003854,
49183,21,19574427,
49173,21,24717500,
49193,21,21745261,
49163,21,19895729,
47013,21,16781458,
47023,21,19083802,
47033,21,17860313,
45813,21,17203230,
45823,21,17104791,
45833,21,19389843,
45803,21,16664480,
44623,21,16569844,
44633,21,14664948,
44613,21,16873698,
44603,21,19082969,
43363,21,19114114,
43373,21,20053646,
43393,21,15317292,
43383,21,19314375,
41843,21,14961771,
41853,21,19821927,
41863,21,16356511,
41873,21,19153854,
35293,21,17640469,
35303,21,16431145,
35313,21,16613021,
35283,21,15320521,
25663,21,18344532,
25673,21,20031718,
25653,21,15574687,
25643,21,14713021,
17843,21,16042240,
17853,21,18030989,
17863,21,17484062,
17873,21,20755469,
6213,21,15758854,
6223,21,14965833,
6233,21,19449843,
6203,21,16581197,
166283,21,17488854,
166293,21,21028906,
166303,21,21106771,
166313,21,17738073,
157743,21,18655729,
157753,21,16371250,
157733,21,16281771,
147923,21,20668438,
147933,21,17632187,
147953,21,15632500,
147943,21,19194791,
136983,21,14633021,
136993,21,15927083,
136973,21,17376562,
131713,21,16096354,
131683,21,16093854,
131693,21,16216823,
131703,21,14017604,
128443,21,16635833,
128453,21,18254375,
128463,21,16036354,
128473,21,13408594,
126533,21,15649688,
126523,21,19787969,
126543,21,19516511,
126553,21,14661875,
124613,21,15360781,
124623,21,15928281,
124633,21,16580625,
122853,21,15506302,
122863,21,17381875,
122873,21,15088698,
120753,21,16898490,
120723,21,15414323,
120733,21,18825052,
120743,21,14170520,
132573,21,17060105,
132583,21,18910834,
132593,21,17213282,
117013,21,18318021,
117023,21,16169479,
117033,21,18996041,
117003,21,17252552,
114423,21,19554531,
114433,21,18553646,
114403,21,16910104,
111843,21,19983906,
111853,21,17203802,
111863,21,19123489,
111873,21,17031145,
108823,21,15661875,
108833,21,16864792,
108813,21,20555364,
108803,21,21563645,
105653,21,18002865,
105643,21,16483594,
105673,21,15775990,
105663,21,21636875,
74413,21,19985625,
74423,21,15884166,
74433,21,16887917,
