quality,ts,
23,35,29741666,
17,35,34229688,
11,35,18545260,
5,35,38242604,
71729,35,16557396,
71723,35,18759219,
71735,35,18944219,
2915,35,16779375,
2921,35,16541146,
2927,35,30676198,
31361,35,19563490,
31367,35,21022188,
31349,35,14995729,
31355,35,34855937,
44657,35,15848750,
44651,35,17444688,
44645,35,19513854,
63395,35,14690781,
63401,35,17946875,
63389,35,17988177,
65291,35,16644531,
65297,35,19010208,
65285,35,15174531,
67109,35,18848959,
67115,35,18828802,
68651,35,17592448,
68645,35,19141615,
68663,35,16680468,
68657,35,18984063,
70211,35,15613438,
70217,35,17218594,
70223,35,16283489,
70205,35,16956302,
72437,35,17797969,
72443,35,18099427,
72455,35,16288646,
72449,35,18053333,
73727,35,18956928,
73709,35,20466614,
73715,35,17751927,
73721,35,15785365,
74783,35,21805365,
74765,35,21145885,
74771,35,23149062,
75929,35,20640573,
75923,35,21225365,
75935,35,16078125,
75917,35,16334636,
77081,35,19210209,
77075,35,22908750,
77087,35,29545573,
77069,35,16279792,
79031,35,18785208,
79025,35,20615520,
79019,35,19039219,
79013,35,14431511,
82181,35,19640521,
82187,35,20932500,
82193,35,20457344,
82199,35,18501875,
88775,35,17181198,
88769,35,17628906,
94649,35,18173073,
94655,35,19931354,
99785,35,19107343,
99791,35,17931302,
99983,35,16065938,
99977,35,18120833,
3929,35,18595937,
3935,35,19608646,
10871,35,17229011,
10865,35,20232813,
15545,35,20543541,
15551,35,22376927,
15425,35,15155886,
15431,35,13995052,
21209,35,16908229,
21215,35,19619375,
25145,35,18693125,
25151,35,20370520,
26063,35,19577812,
26057,35,22146771,
26129,35,19302135,
26135,35,19449740,
26849,35,14353542,
26855,35,14860729,
27569,35,20892448,
27575,35,21352813,
28319,35,17109115,
28313,35,18360677,
29585,35,17427761,
29591,35,19234427,
29633,35,15240156,
29639,35,15118750,
94817,35,20097292,
94823,35,21950677,
88763,35,19885312,
88757,35,17013073,
94643,35,19479323,
94637,35,17603958,
99773,35,19762604,
99779,35,19603646,
3731,35,18633802,
3725,35,19923541,
3737,35,19627292,
3743,35,14796094,
10727,35,21873125,
10709,35,20952239,
10715,35,23471615,
10721,35,16413020,
15395,35,20185417,
15401,35,20550209,
15389,35,17822760,
15407,35,18639062,
21173,35,18337604,
21179,35,18354219,
21185,35,15320990,
21191,35,23731771,
25115,35,18169844,
25121,35,20957188,
25127,35,21851563,
25109,35,22080104,
26027,35,18146354,
26033,35,17827291,
26021,35,21526667,
26039,35,18120573,
26783,35,21629739,
26771,35,14399063,
26765,35,20367812,
26777,35,15169375,
27491,35,18478385,
27485,35,19914114,
27497,35,15643490,
27503,35,15965573,
28211,35,18320521,
28217,35,19457448,
28205,35,18544115,
29513,35,17074063,
29519,35,19521093,
29507,35,17231770,
29501,35,16528541,
31757,35,16348959,
31763,35,18882917,
31769,35,14187136,
33203,35,18098594,
33209,35,17264843,
33197,35,17807604,
31883,35,17547812,
31877,35,23283646,
31889,35,24006979,
29693,35,16523646,
29699,35,16716406,
29705,35,16177344,
29525,35,15278281,
29531,35,15623489,
29537,35,18196615,
28229,35,18979584,
28241,35,18203594,
28235,35,19468177,
28307,35,15924062,
28301,35,16557968,
28313,35,17518021,
27563,35,15726823,
27557,35,17029167,
27569,35,16632187,
27665,35,17033386,
27653,35,19288802,
27659,35,20110260,
26933,35,17238385,
26939,35,16887552,
26945,35,17096980,
26957,35,15496979,
26969,35,15427344,
26963,35,17789375,
26201,35,17529375,
26195,35,18025521,
26189,35,20604323,
26219,35,13995781,
26213,35,17077031,
26225,35,19716407,
