quality,ts,
21,31,51301145,
29,31,53332604,
95645,31,19544635,
95637,31,50672761,
3885,31,18811719,
3893,31,20175729,
95629,31,57542032,
3901,31,49942916,
41813,31,28123073,
41821,31,37431719,
41805,31,30949219,
41797,31,26285729,
59533,31,16019271,
59541,31,17194688,
59525,31,16513489,
84533,31,17906562,
84525,31,21741823,
84517,31,19959635,
87061,31,19051250,
87053,31,24267344,
87045,31,16208125,
91525,31,19070730,
91533,31,23764375,
91549,31,21873073,
91541,31,23843907,
93613,31,17503437,
93621,31,19828282,
93605,31,16737448,
93629,31,19430989,
96581,31,18548125,
96589,31,26820521,
96597,31,26041719,
96605,31,26755364,
98301,31,20588438,
98293,31,16882188,
99709,31,22316094,
99685,31,23074740,
99693,31,23135573,
101237,31,20074115,
101229,31,25668646,
101245,31,20441875,
101221,31,22176406,
102765,31,16502916,
102773,31,25359011,
102781,31,26155729,
102757,31,20261667,
109573,31,19960469,
109581,31,21207917,
109589,31,21707135,
109597,31,30949427,
126197,31,18966875,
126205,31,21105261,
5237,31,20083959,
5245,31,23906198,
14485,31,21000990,
14493,31,26020313,
20733,31,18843281,
20725,31,25420260,
28277,31,20598906,
28285,31,29537448,
33525,31,19840104,
33533,31,26605261,
35797,31,24958646,
35805,31,26297239,
37749,31,17297448,
37757,31,19497865,
126429,31,20207969,
126421,31,29968281,
126189,31,26200625,
126181,31,23839948,
4965,31,20747708,
4973,31,27515260,
4981,31,29815885,
4989,31,35706875,
14285,31,19764375,
14301,31,29033177,
14277,31,28833437,
14293,31,20310677,
20517,31,19902292,
28229,31,19420573,
28237,31,23084635,
28245,31,16611614,
28253,31,23191719,
33485,31,22736927,
33493,31,36808802,
33477,31,21325573,
33501,31,29619896,
35709,31,24924322,
35685,31,30161927,
35693,31,38167813,
35701,31,34031093,
37613,31,22310938,
37621,31,30113021,
37605,31,22721094,
44269,31,25023437,
44261,31,22891406,
37637,31,23369323,
37653,31,34200625,
37645,31,45185156,
37733,31,25168907,
37741,31,32107136,
35909,31,22493802,
35917,31,31608959,
35925,31,34535156,
35941,31,21071823,
35957,31,21816927,
35949,31,32535365,
45869,31,24724843,
45877,31,35940208,
45861,31,27179635,
47141,31,22860521,
47149,31,33047344,
47157,31,22253593,
48149,31,22264687,
48141,31,64510313,
48133,31,77265365,
49061,31,45408177,
49069,31,96683542,
49077,31,78299010,
49085,31,23049011,
50037,31,22405365,
50045,31,21721615,
50029,31,15345208,
50021,31,14827552,
51949,31,18862031,
51957,31,19360313,
51965,31,18431875,
51941,31,15811042,
52141,31,16204792,
52149,31,15474271,
51981,31,18076719,
51989,31,16598542,
50069,31,14208073,
50061,31,14480261,
50125,31,15888438,
50133,31,16225781,
50157,31,16633959,
50165,31,16919583,
50221,31,16705729,
50229,31,16793593,
49197,31,18424583,
49205,31,19642448,
49229,31,16612968,
49237,31,17035521,
49301,31,16882240,
49293,31,19053177,
49333,31,19570469,
49325,31,20266719,
48301,31,14511614,
48309,31,15491354,
48333,31,16936302,
48341,31,16636198,
48365,31,16747709,
48373,31,18095833,
47381,31,17198229,
47373,31,18064948,
47405,31,17091771,
47413,31,16882083,
47437,31,16593437,
47445,31,18502760,
46453,31,15952813,
46445,31,17926094,
45973,31,17407344,
45965,31,17751250,
47245,31,16472396,
47253,31,16281718,
47181,31,16326771,
47189,31,16085469,
47341,31,18516823,
47349,31,18795156,
47165,31,14642395,
48157,31,17612500,
45869,31,16853958,
45877,31,17248073,
45861,31,17095052,
45885,31,16167031,
44269,31,17344583,
44261,31,14462500,
37621,31,15583073,
37613,31,16976875,
37629,31,14549115,
35709,31,19562188,
35701,31,20112604,
35693,31,19667708,
35685,31,21695677,
33485,31,14656927,
33477,31,15922343,
33493,31,16299167,
33501,31,17966094,
28245,31,15960677,
28237,31,17109115,
28253,31,16186458,
28229,31,15153907,
20517,31,14203645,
14277,31,15028229,
14285,31,15685781,
14301,31,14616875,
14293,31,16071875,
4981,31,16199063,
4973,31,17138333,
4989,31,16713958,
4965,31,19289843,
126197,31,18546198,
126205,31,17352240,
126189,31,16335260,
109597,31,19280573,
109589,31,21054792,
109573,31,20148073,
109581,31,15868490,
102765,31,16754479,
102757,31,18583855,
102773,31,18713803,
102781,31,13881406,
101221,31,19996823,
101229,31,17636406,
101237,31,17599896,
101245,31,17928698,
99693,31,19952187,
99701,31,19243490,
99709,31,15750052,
98293,31,15739739,
98301,31,15243386,
96605,31,19654688,
96589,31,18820834,
96581,31,20663021,
96597,31,15851771,
93613,31,16491146,
93621,31,18081614,
93629,31,17299427,
93605,31,19020365,
91525,31,18269531,
91541,31,20711771,
91549,31,19970625,
