quality,ts,
15,27,29986146,
21,27,31289896,
9,27,14605261,
3,27,29658646,
71727,27,17054323,
71733,27,35460000,
71721,27,37578959,
2913,27,18292292,
2919,27,17971042,
2925,27,21047968,
31359,27,13312292,
31365,27,13076458,
31353,27,14046614,
31347,27,14224011,
44649,27,13761458,
44655,27,14214583,
44643,27,13091510,
63393,27,15171979,
63399,27,14883229,
63387,27,13238750,
65289,27,14250729,
65295,27,14825313,
65283,27,15091563,
67113,27,13578802,
67107,27,17231458,
68643,27,14313750,
68649,27,14636354,
68661,27,14427552,
68655,27,18181250,
70209,27,15245260,
70215,27,15845208,
70221,27,13960052,
70203,27,15730365,
72435,27,13357552,
72441,27,16216927,
72453,27,15224844,
72447,27,15675000,
73725,27,15290781,
73707,27,15163698,
73713,27,13434063,
73719,27,14618906,
74763,27,14540365,
74781,27,16004166,
74769,27,18677083,
75921,27,14123802,
75927,27,16126354,
75933,27,17903750,
75915,27,17931146,
77073,27,17526719,
77085,27,19990260,
77079,27,25667917,
77067,27,15269739,
79023,27,16836563,
79029,27,20633802,
79017,27,17345416,
79011,27,15119375,
82179,27,19185000,
82185,27,21241979,
82191,27,27580104,
82197,27,16869323,
88767,27,16278594,
88773,27,17171459,
94647,27,14830573,
94653,27,15750885,
99783,27,15237708,
99789,27,17272552,
99975,27,15537448,
99981,27,16678593,
3927,27,14501250,
3933,27,15092916,
10863,27,15668125,
10869,27,17012136,
15543,27,15244896,
15549,27,16599114,
15423,27,16015469,
15429,27,18362761,
21207,27,14888750,
21213,27,14993177,
25149,27,15471198,
25143,27,15910313,
26055,27,15434427,
26061,27,17258125,
26127,27,17734167,
26133,27,21099844,
26847,27,17429114,
26853,27,24774427,
27567,27,17726719,
27573,27,20622709,
28311,27,19285208,
28317,27,23347448,
29583,27,17599740,
29589,27,19877813,
29631,27,18239740,
29637,27,21035677,
94815,27,22469114,
94821,27,26631875,
88761,27,21618386,
88755,27,18929375,
94641,27,21443333,
94635,27,23600364,
99771,27,32974219,
99777,27,20133281,
3723,27,23111406,
3729,27,32769844,
3735,27,41648646,
3741,27,21110781,
10713,27,21541250,
10725,27,31562292,
10707,27,32171979,
10719,27,20393281,
15399,27,24163177,
15393,27,34399948,
15387,27,22788855,
15405,27,24437917,
21177,27,20361354,
21171,27,29110990,
21183,27,19065520,
21189,27,23730677,
25113,27,19473177,
25119,27,24309739,
25125,27,19815052,
25107,27,17960157,
26019,27,18173437,
26031,27,16699166,
26025,27,18207031,
26037,27,16240937,
26763,27,18706511,
26781,27,21287136,
26769,27,19429635,
26775,27,15454948,
27483,27,18803802,
27489,27,17142396,
27495,27,15135782,
27501,27,15131563,
28209,27,19415521,
28215,27,19394011,
28203,27,14404531,
29511,27,18795729,
29517,27,19468698,
29505,27,14431927,
29499,27,18308229,
31761,27,16149739,
31755,27,16925833,
31767,27,17908959,
33201,27,16540468,
33207,27,23494427,
33195,27,17259531,
31875,27,19687656,
31887,27,20081979,
31881,27,20631875,
29697,27,20292812,
29703,27,20939583,
29691,27,23218750,
29529,27,16024062,
29523,27,21002083,
29535,27,18337761,
28227,27,18595989,
28233,27,21637552,
28239,27,21896615,
28305,27,15288021,
28299,27,16199375,
28311,27,20570573,
27555,27,20835677,
27567,27,20387187,
27561,27,21236771,
27651,27,17105364,
27663,27,18104271,
27657,27,19814896,
26931,27,19582032,
26943,27,16535364,
26937,27,19538698,
26955,27,16603490,
26961,27,17168281,
26967,27,17207291,
26193,27,17374323,
26199,27,16653385,
26187,27,19149896,
26211,27,17411875,
26217,27,16810469,
26223,27,21162552,
