quality,ts,
20,23,27297500,
14,23,33404479,
8,23,23656406,
2,23,13143073,
71720,23,15753333,
71732,23,31379166,
71726,23,32114479,
2912,23,17242084,
2918,23,18543073,
2924,23,13640833,
31358,23,13788282,
31364,23,15534322,
31352,23,13204583,
31346,23,13016042,
44654,23,13501250,
44648,23,15965105,
44642,23,12969114,
63392,23,13233438,
63398,23,16568489,
63386,23,13390520,
65288,23,13462500,
65294,23,13188594,
65282,23,13013073,
67112,23,14602657,
67106,23,16929063,
68642,23,13515833,
68648,23,13177084,
68660,23,13934531,
68654,23,16639739,
70208,23,15780417,
70214,23,17388750,
70220,23,16336094,
70202,23,17964427,
72434,23,16233073,
72440,23,17531719,
72452,23,16627031,
72446,23,18305416,
73724,23,15954375,
73706,23,17043021,
73712,23,15308541,
73718,23,14978282,
74762,23,19287552,
74780,23,22315468,
75920,23,15035833,
75926,23,16363021,
75932,23,15924323,
75914,23,16401511,
77072,23,15463177,
77084,23,16757083,
77078,23,19526510,
77066,23,15345157,
79022,23,16122552,
79028,23,18282396,
79016,23,16110521,
79010,23,15121146,
82178,23,15401042,
82184,23,17102031,
82190,23,18352344,
82196,23,15423958,
88766,23,15893542,
88772,23,18091718,
94652,23,16343072,
94646,23,21043281,
99782,23,15865677,
99788,23,17551406,
99974,23,17013802,
99980,23,19965677,
3926,23,15041406,
3932,23,17563958,
10862,23,16619948,
10868,23,20058125,
15542,23,15895521,
15548,23,19386198,
15428,23,15227760,
15422,23,15819740,
21212,23,14706250,
21206,23,15637657,
25148,23,14694636,
25142,23,17445781,
26054,23,15675104,
26060,23,16186458,
26132,23,14571979,
26126,23,15715677,
26852,23,16386146,
26846,23,19785417,
27566,23,16188437,
27572,23,21129532,
28310,23,14212865,
28316,23,14978698,
29582,23,14376875,
29588,23,15302968,
29630,23,17575365,
29636,23,18626041,
94814,23,18436667,
94820,23,19777865,
88760,23,21999011,
88754,23,19852865,
94640,23,20380677,
94634,23,17593125,
99770,23,19141041,
99776,23,18282969,
3722,23,19291459,
3734,23,18105416,
3728,23,32066146,
3740,23,16490833,
10712,23,21726719,
10706,23,26804322,
10724,23,34024687,
10718,23,15948073,
15392,23,21504531,
15398,23,22048750,
15386,23,20114532,
15404,23,22096615,
21170,23,18706562,
21176,23,19624010,
21182,23,15054323,
21188,23,18733386,
25112,23,16604010,
25118,23,16329844,
25106,23,16217240,
25124,23,20062136,
26030,23,16818177,
26018,23,20078855,
26024,23,18963437,
26036,23,15877031,
26780,23,15953542,
26768,23,16898437,
26762,23,22023281,
26774,23,16312083,
27482,23,18913021,
27488,23,19183334,
27494,23,15017552,
27500,23,17594896,
28208,23,18398854,
28214,23,17554323,
28202,23,15925417,
29510,23,19342031,
29516,23,18304843,
29504,23,15278698,
29498,23,16284063,
31754,23,15465468,
31760,23,14874948,
31766,23,14253021,
33200,23,16949375,
33206,23,16685000,
33194,23,15617657,
31886,23,19255000,
31880,23,21110261,
31874,23,23265469,
29690,23,16142865,
29696,23,15677135,
29702,23,18860052,
29522,23,14354739,
29528,23,14284740,
29534,23,19749271,
28226,23,17065781,
28238,23,20674635,
28232,23,21683229,
28304,23,16396615,
28310,23,17116771,
28298,23,19700469,
27554,23,21317709,
27566,23,17954843,
27560,23,20512343,
27650,23,14402500,
27662,23,16298959,
27656,23,17914739,
26930,23,15170156,
26936,23,14727292,
26942,23,16342552,
26954,23,17447291,
26960,23,18701302,
26966,23,18096458,
26192,23,17131145,
26186,23,19511407,
26198,23,16406562,
26210,23,15533907,
26216,23,15256667,
26222,23,18697031,
33212,23,20623906,
33818,23,17329323,
33824,23,18966198,
33830,23,14577552,
33836,23,14138021,
34400,23,19810052,
34406,23,17859427,
34394,23,15103854,
35360,23,15576302,
35354,23,18627917,
35366,23,19582187,
36110,23,16438594,
36104,23,19059427,
36098,23,16268489,
36794,23,19421875,
36800,23,19969531,
36806,23,19288021,
36812,23,15495000,
37526,23,17814896,
37532,23,18572031,
37520,23,15795416,
37514,23,16098906,
38960,23,19859062,
38966,23,19062239,
38972,23,19444062,
38954,23,19104635,
39110,23,17627605,
39104,23,19195261,
38990,23,16040781,
38984,23,18149531,
37544,23,14594323,
37550,23,16248333,
37592,23,15854844,
37598,23,16828073,
37616,23,16162500,
37622,23,16682448,
37664,23,18679740,
37670,23,17941250,
36902,23,15090573,
36896,23,18021250,
36920,23,15845364,
36926,23,16279792,
36968,23,18360313,
36974,23,17606771,
36998,23,16925573,
36992,23,18605677,
36230,23,13982761,
36224,23,15535937,
36248,23,17061979,
