quality,ts,
31,39,36924427,
23,39,43830417,
15,39,31453593,
7,39,16473333,
95631,39,20440573,
95639,39,22802969,
3895,39,26156563,
95647,39,77899791,
3903,39,41971198,
3887,39,68798073,
41823,39,23038750,
41815,39,41382500,
41807,39,29956406,
41799,39,22085833,
59535,39,16964271,
59543,39,19320833,
59527,39,18792552,
84527,39,17205520,
84535,39,21303489,
84519,39,15806719,
87055,39,19197604,
87063,39,22328229,
87047,39,16982865,
89479,39,20361979,
89487,39,24241407,
91527,39,21924218,
91535,39,25683282,
91551,39,17810104,
91543,39,20400990,
93615,39,17957291,
93623,39,19383437,
93631,39,22126615,
93607,39,24623281,
96583,39,18965625,
96591,39,18988333,
96599,39,21358125,
96607,39,22661406,
98303,39,18927343,
98279,39,26175313,
98287,39,23717917,
98295,39,19205886,
99711,39,17161719,
99687,39,18339740,
99695,39,22427760,
101239,39,19534010,
101231,39,32236406,
101247,39,19820677,
101223,39,23229687,
102767,39,18888802,
102775,39,20806094,
102783,39,22561562,
102759,39,16089792,
105367,39,16327604,
105375,39,17547605,
105359,39,15063594,
105351,39,15276355,
109583,39,16173646,
109575,39,22608646,
109591,39,23247239,
109599,39,18514323,
118367,39,19801927,
118359,39,26468490,
126199,39,25747343,
126207,39,31819948,
133047,39,25973906,
133055,39,35519375,
133303,39,21033281,
133311,39,23605469,
5239,39,16055469,
5247,39,18564011,
14487,39,22008906,
14495,39,27086562,
20735,39,19673125,
20727,39,24603020,
20575,39,18978333,
20567,39,23784427,
28287,39,17698489,
28279,39,24580364,
33535,39,20325104,
33527,39,29802240,
34743,39,21991094,
34751,39,31388125,
34839,39,21200260,
34847,39,27609844,
35799,39,20695416,
35807,39,24897969,
36759,39,31604895,
36767,39,40689375,
37751,39,32368229,
37759,39,40896250,
39455,39,23293334,
39447,39,37103385,
39511,39,30387343,
39519,39,40145886,
126423,39,24784115,
126431,39,33611979,
118351,39,29406459,
118343,39,25392344,
126191,39,27233021,
126183,39,33359844,
133031,39,22700104,
133039,39,20672187,
4967,39,24136667,
4975,39,34783802,
4983,39,42633177,
4991,39,27569687,
14303,39,50146875,
14279,39,102691406,
14287,39,111160417,
14295,39,84683802,
20535,39,23226406,
20527,39,52406771,
20519,39,63172708,
20543,39,21915521,
28231,39,22224011,
28239,39,65038230,
28247,39,97885521,
28255,39,82560364,
33495,39,73884218,
33487,39,81345208,
33503,39,60467448,
33479,39,59925989,
34695,39,16991094,
34703,39,16787708,
34711,39,17780937,
34719,39,17738385,
35687,39,16839427,
35695,39,20463230,
35711,39,25839219,
35703,39,15698333,
36655,39,17092656,
36647,39,17852969,
36671,39,16953073,
36663,39,17158541,
37623,39,18751302,
37615,39,19193802,
37607,39,16774010,
39359,39,20504427,
39351,39,21323542,
39343,39,18322135,
39335,39,22797032,
42343,39,18389115,
42351,39,18354688,
42359,39,16420468,
44279,39,17344792,
44271,39,19539427,
44263,39,16444219,
42503,39,17239583,
42519,39,17560937,
42511,39,20011667,
39591,39,21217552,
39607,39,17572084,
39599,39,21418281,
39367,39,22395573,
39375,39,22648646,
39383,39,21909948,
37647,39,35580104,
37639,39,40710364,
37655,39,41217291,
37735,39,19169739,
37743,39,18634271,
37751,39,21505364,
36759,39,22618802,
36743,39,24392500,
36751,39,31660365,
36871,39,19974584,
36887,39,19708854,
36879,39,28620937,
35911,39,18019011,
35919,39,18248907,
35927,39,18840677,
35943,39,16303073,
35959,39,16560052,
35951,39,19855052,
34919,39,16718333,
34935,39,17525052,
34927,39,25139531,
34959,39,16619479,
34951,39,18967708,
34967,39,17288907,
44287,39,16615677,
45095,39,19853021,
45103,39,20166146,
45119,39,17468750,
45111,39,19535417,
45871,39,20530782,
45879,39,20392709,
45863,39,20757136,
47143,39,18879844,
47151,39,21117604,
47159,39,17717083,
48151,39,15800156,
48143,39,16506094,
48135,39,14657448,
49063,39,14970208,
49071,39,15916354,
49079,39,15828958,
49087,39,17370989,
50047,39,16160365,
50039,39,20031250,
50031,39,19427240,
50023,39,18287032,
51951,39,17687240,
51959,39,16993177,
51967,39,20447344,
51943,39,16897448,
52143,39,18324427,
52151,39,17595208,
51983,39,21148073,
51991,39,21837604,
50063,39,17926822,
50071,39,18477709,
50127,39,17032240,
50135,39,17466979,
50159,39,17975677,
50167,39,19690261,
50231,39,17632292,
50223,39,19415990,
49199,39,17726250,
49207,39,17230781,
49231,39,18623542,
49239,39,19102917,
49295,39,17622448,
49303,39,18404427,
49327,39,16985052,
49335,39,18003125,
48311,39,14919844,
48303,39,16816979,
48335,39,19599010,
48343,39,22266875,
48367,39,18156458,
48375,39,21990990,
47383,39,16340416,
47415,39,17098802,
47407,39,18433021,
47439,39,16146563,
47447,39,21390260,
46359,39,18253750,
46351,39,20519896,
46391,39,14625469,
46383,39,15550937,
46415,39,15646667,
46423,39,17251562,
46447,39,16718125,
46455,39,18643854,
46319,39,17360937,
46327,39,17616719,
46295,39,15929115,
46287,39,17228438,
46255,39,18357656,
46263,39,18491041,
46223,39,14894531,
46231,39,15167552,
46199,39,16525157,
46191,39,16864271,
46159,39,16651302,
46167,39,17475886,
46095,39,16260834,
46103,39,17132344,
46071,39,17205417,
46063,39,18673281,
45967,39,17484011,
45975,39,17924115,
47255,39,16439427,
47247,39,18081875,
47183,39,15772761,
47191,39,16020052,
47351,39,16654375,
47343,39,17903125,
47151,39,16684948,
47159,39,17518541,
47143,39,15477500,
47167,39,17322552,
48143,39,16408437,
48151,39,16759791,
48135,39,16057552,
48159,39,16254219,
49071,39,16512709,
49063,39,18250573,
49079,39,15441666,
45871,39,19626979,
45879,39,19464219,
45863,39,16521146,
45887,39,17914375,
45119,39,20752240,
45111,39,22172344,
45103,39,18312187,
45095,39,15145989,
44271,39,18410729,
44279,39,18106302,
44287,39,15846667,
44263,39,18613490,
42359,39,17416979,
42351,39,19581615,
42343,39,15334062,
42367,39,17665000,
39351,39,19039635,
39343,39,22063125,
39335,39,15846198,
39359,39,18184583,
37615,39,19999427,
37623,39,20546198,
37631,39,18524114,
36663,39,19302813,
36655,39,19636354,
36671,39,16417552,
36647,39,16645208,
35711,39,17929063,
35703,39,19675885,
35687,39,17229740,
35695,39,19733802,
34695,39,18926459,
34703,39,18539166,
34711,39,16968281,
34719,39,17155677,
33479,39,17177292,
33487,39,18745000,
33495,39,15655520,
33503,39,17305729,
28247,39,14987812,
28239,39,16342447,
28255,39,17961718,
28231,39,16216823,
20543,39,18179844,
20535,39,19044532,
20527,39,16431718,
20519,39,16725364,
14287,39,17779531,
14279,39,20155416,
14295,39,18683542,
14303,39,19527969,
4975,39,16342292,
4983,39,16591979,
4991,39,15151875,
4967,39,19712552,
133039,39,16824427,
133031,39,17200730,
133047,39,15010834,
133055,39,16110312,
126207,39,18059791,
126199,39,20047969,
126191,39,16567760,
118351,39,20869271,
118359,39,21432188,
118343,39,23864739,
118367,39,17853177,
109591,39,17716667,
109575,39,18076771,
109599,39,21162344,
109583,39,18360938,
105375,39,17809167,
105351,39,18165156,
105359,39,14213281,
105367,39,15801770,
102759,39,18170938,
102767,39,18936875,
102775,39,18872032,
102783,39,17445677,
101223,39,19718646,
101231,39,18773542,
101239,39,20565209,
101247,39,14351979,
99695,39,14977760,
99703,39,15824218,
99711,39,19448906,
98287,39,15739532,
98295,39,16159427,
98303,39,19680625,
96607,39,19025625,
96583,39,18203229,
96591,39,20365938,
96599,39,15426719,
106063,39,17990782,
106079,39,17272500,
106071,39,24589792,
93615,39,18491980,
93623,39,20478177,
93631,39,17657552,
93607,39,17604948,
91527,39,16700417,
91551,39,18868750,
91543,39,21152604,
89479,39,21108073,
89487,39,20816406,
89495,39,21409584,
89503,39,16241458,
87063,39,16292031,
87071,39,18280157,
87047,39,19076094,
87055,39,20453802,
84535,39,14936250,
84527,39,16732448,
84543,39,15254635,
84519,39,16152135,
59543,39,17516771,
59535,39,20199636,
59551,39,17089271,
59527,39,18481666,
41799,39,16103438,
41807,39,17306250,
41815,39,14930260,
41823,39,15181354,
3895,39,16550469,
3903,39,17636510,
3887,39,18397083,
3879,39,26310781,
95639,39,16684583,
95631,39,17837969,
95647,39,16628021,
95623,39,15537031,
7,39,18026250,
23,39,18169375,
15,39,18932031,
31,39,20018386,
96559,39,19374896,
96567,39,19815209,
96575,39,19523959,
4927,39,17483437,
4911,39,18642083,
4919,39,19135625,
41847,39,18039427,
41855,39,20618542,
41839,39,22360938,
59567,39,18407500,
59575,39,24438855,
59583,39,31272500,
59671,39,25089635,
59663,39,26334323,
59679,39,23084792,
84631,39,18635573,
84639,39,19177969,
84623,39,20731666,
84719,39,16244271,
84735,39,16615937,
84727,39,17938437,
42223,39,18458490,
42231,39,18509532,
42239,39,20606354,
3855,39,17709323,
3863,39,18847604,
55,39,16582396,
47,39,17909740,
719,39,18760260,
727,39,19003385,
1751,39,17980312,
1743,39,19332188,
1783,39,17428438,
1775,39,18796666,
3799,39,18962239,
3791,39,19428385,
3823,39,17061979,
3831,39,17804583,
3815,39,17807187,
3783,39,17484948,
1767,39,19910208,
1735,39,17912552,
96143,39,17669115,
96135,39,18842708,
96151,39,16704844,
95751,39,18691615,
95759,39,18841875,
95767,39,18358020,
95655,39,17641354,
95671,39,18122657,
95663,39,19057864,
96551,39,20023958,
4903,39,16093385,
91535,39,16817708,
96599,39,18903281,
96591,39,18467812,
96583,39,17257396,
96607,39,15711510,
98287,39,14621146,
98295,39,14840782,
98279,39,15884739,
98303,39,14835937,
99687,39,16793698,
99711,39,17736719,
99703,39,18400938,
99695,39,17385990,
101239,39,19860938,
101247,39,20256823,
101223,39,19857032,
101231,39,18066406,
102759,39,17383594,
102767,39,17650313,
102775,39,16891407,
102783,39,19184635,
105359,39,18756354,
105367,39,18707917,
105351,39,20759479,
109575,39,18601823,
109591,39,17181927,
109583,39,18471511,
109599,39,18454740,
118343,39,18458489,
118351,39,18146511,
118359,39,18559635,
126191,39,19161666,
126199,39,21028646,
126183,39,19979583,
126207,39,20844532,
133039,39,17646875,
133047,39,18466927,
133055,39,18399479,
133031,39,16262448,
4975,39,19412083,
4983,39,20102553,
4991,39,18387292,
4967,39,16608958,
14287,39,17919948,
14295,39,16253125,
14279,39,15365260,
14303,39,17016927,
20527,39,18141875,
20535,39,19823073,
20543,39,19517292,
20519,39,18696042,
118367,39,17671042,
105375,39,18138802,
103575,39,16055052,
103559,39,18726250,
103567,39,18299271,
101735,39,16330417,
101743,39,16433750,
101751,39,16432083,
101255,39,17515781,
101271,39,18585990,
101263,39,20064583,
99847,39,19859948,
99863,39,19227761,
99855,39,20544740,
99879,39,18289167,
99887,39,20030208,
99895,39,18980782,
98407,39,19518697,
98423,39,19849740,
98415,39,20378698,
98503,39,18173229,
98511,39,18149167,
98519,39,21417709,
98663,39,19396562,
98671,39,21837864,
98679,39,22100521,
97159,39,19561458,
97167,39,20139739,
97175,39,20220156,
97271,39,18953334,
97255,39,20661875,
97263,39,21268490,
94479,39,19488282,
94471,39,20429687,
94487,39,19771666,
94511,39,19479844,
94519,39,19537604,
94503,39,22348906,
92263,39,16424740,
92271,39,15860260,
92279,39,16185729,
92311,39,16306823,
92303,39,17098490,
92295,39,18229166,
90215,39,16693386,
90223,39,18772865,
90231,39,18805677,
90255,39,19153230,
90247,39,20003230,
90263,39,20758750,
87751,39,18088697,
87759,39,18617135,
87767,39,22286770,
87799,39,16031510,
87791,39,17910052,
87783,39,19457500,
85487,39,20634271,
85479,39,21954011,
85495,39,21577136,
85519,39,16879427,
85511,39,21487500,
85527,39,22189739,
85543,39,20824584,
85559,39,20207969,
85551,39,21580990,
59943,39,18181927,
59951,39,18988802,
59959,39,18283437,
59975,39,17982188,
59983,39,17984636,
59991,39,17984062,
42247,39,15565364,
42255,39,15440781,
42263,39,15109844,
42295,39,15452396,
42279,39,18829479,
42287,39,18666823,
4935,39,17940729,
4943,39,17968125,
4951,39,17623594,
4959,39,16120782,
42327,39,17797084,
42335,39,18205261,
60031,39,17877136,
60023,39,20229115,
85599,39,15914584,
85591,39,17356875,
87831,39,18833489,
87839,39,19579375,
90295,39,18785313,
90303,39,21125208,
89527,39,16051823,
89535,39,15187188,
91575,39,18718282,
91583,39,19477552,
91607,39,16979844,
91615,39,17418854,
93663,39,15361927,
93655,39,15949010,
96631,39,18467292,
96639,39,17897552,
96663,39,22271197,
96671,39,22090364,
98327,39,23191354,
98335,39,25948802,
99775,39,19608907,
99767,39,20279271,
101311,39,16724167,
101303,39,18801510,
102807,39,17046407,
102815,39,17840364,
102799,39,18686458,
105399,39,16413125,
105407,39,15862968,
105391,39,15865208,
105439,39,17087553,
105431,39,17857448,
105423,39,19595781,
109623,39,15816562,
109615,39,17966094,
109631,39,19077187,
109743,39,19676927,
109759,39,18748802,
109751,39,19780417,
118479,39,17930104,
118487,39,21093542,
118495,39,23723229,
126335,39,18389635,
126319,39,20481511,
126327,39,21236666,
126359,39,15686719,
126351,39,18241406,
126367,39,20769688,
133167,39,19392709,
133183,39,18019167,
133175,39,21350469,
133207,39,18810573,
133215,39,18142760,
133199,39,19457083,
5103,39,23703385,
5111,39,22260625,
5119,39,23065417,
5135,39,18219062,
5151,39,19802500,
5143,39,21335834,
14415,39,19621875,
14423,39,22737865,
14431,39,20575104,
20663,39,15768021,
20671,39,16174948,
20655,39,17098854,
28375,39,19570625,
28367,39,21918281,
28383,39,20699844,
28399,39,21550938,
28415,39,20534740,
28407,39,22848959,
33615,39,20641823,
33623,39,19865885,
33631,39,21385157,
33663,39,16794687,
33655,39,19014844,
33647,39,20689427,
34871,39,16296406,
34863,39,16917396,
34879,39,16499375,
34895,39,16741094,
34903,39,18840990,
35863,39,17216406,
35855,39,19257083,
35895,39,20205416,
35887,39,22318646,
36791,39,18785625,
36783,39,21700677,
36815,39,16200833,
36823,39,17076198,
37775,39,19022917,
37783,39,18614583,
37807,39,18067292,
37815,39,17913230,
39471,39,18917812,
39487,39,21190885,
39479,39,26897395,
39543,39,16746667,
39535,39,17287292,
39551,39,23103645,
42423,39,16617709,
42431,39,17238334,
42463,39,16537500,
42455,39,17371458,
44375,39,16231719,
44383,39,18737656,
45183,39,15751615,
45175,39,16427084,
46007,39,17885729,
46015,39,18265833,
46047,39,16441771,
46039,39,18902969,
47287,39,17327240,
47295,39,17321302,
48255,39,17049531,
48247,39,19905000,
49143,39,16846927,
49151,39,17344323,
49183,39,18170990,
49175,39,19774010,
50207,39,19346771,
50199,39,19750573,
52095,39,16490521,
52087,39,20540416,
56343,39,17728854,
56351,39,18250364,
56375,39,17675573,
56383,39,18506719,
60087,39,17835260,
60095,39,15178177,
62903,39,18062500,
62911,39,18825833,
66039,39,15883281,
66047,39,17001666,
70071,39,17295000,
70079,39,18264427,
70111,39,20420730,
70103,39,21610833,
75799,39,17060156,
75807,39,21995625,
79703,39,16732813,
79711,39,17295156,
81655,39,17515990,
81663,39,17822187,
83127,39,16447187,
83135,39,17303958,
83167,39,16384948,
83159,39,16611822,
84375,39,20751198,
84383,39,20733541,
84471,39,17706928,
84479,39,17718802,
85687,39,18704375,
85695,39,19580782,
85791,39,16202032,
85783,39,18215573,
85815,39,16372448,
85823,39,17126042,
85943,39,15630833,
85951,39,16354584,
86039,39,17818385,
86047,39,18090000,
86135,39,17744479,
86143,39,17785156,
86263,39,17380000,
86271,39,19398229,
86431,39,18966979,
86423,39,19797761,
86583,39,17091302,
86591,39,18201042,
86775,39,18826042,
86783,39,18566146,
86975,39,16575313,
86967,39,19505365,
87935,39,16809271,
87927,39,19088646,
87967,39,18533958,
87959,39,18999219,
88127,39,14948802,
88119,39,15714218,
88247,39,15637135,
88255,39,18268489,
88439,39,16983489,
88447,39,17932813,
88471,39,18134844,
88479,39,18292188,
88599,39,15643385,
88607,39,16039635,
88759,39,19643594,
88767,39,18932500,
88919,39,17344792,
88927,39,17348646,
88959,39,16523594,
88951,39,17684427,
88943,39,14661198,
89071,39,18179271,
89079,39,18637292,
89087,39,19467135,
89231,39,15989531,
89239,39,16985573,
89247,39,16798073,
89399,39,16232761,
89407,39,17431458,
89391,39,17872917,
90383,39,18164323,
90391,39,17645469,
90399,39,18643385,
88783,39,17304635,
88791,39,18774166,
88799,39,23249895,
88751,39,17818802,
88591,39,17819531,
88463,39,15842969,
88279,39,16757604,
88287,39,16595052,
88119,39,18890469,
88127,39,17859739,
87959,39,17959792,
87967,39,18772136,
86999,39,14729791,
87007,39,15444479,
86807,39,14856250,
86815,39,15947448,
86623,39,16784218,
86615,39,17830156,
86487,39,15094636,
86495,39,15707031,
86463,39,16488594,
86455,39,18460000,
86295,39,15218334,
86303,39,15091719,
86167,39,16811719,
86175,39,17966771,
86159,39,18317395,
86151,39,14634896,
86279,39,17297083,
86287,39,17263073,
86407,39,18681875,
86415,39,19607656,
86423,39,15185313,
86575,39,15921666,
86567,39,16770730,
86583,39,16754375,
86703,39,15664740,
86695,39,16138594,
86711,39,15558490,
86919,39,16492448,
86935,39,17449740,
86927,39,18065886,
87879,39,18015313,
87895,39,17912761,
87887,39,20070781,
88079,39,19497813,
88087,39,21014271,
88071,39,21975521,
88199,39,16947760,
88215,39,17369323,
88207,39,17958386,
88399,39,16063281,
88391,39,16565261,
88407,39,16902656,
88551,39,16602656,
88559,39,16490521,
88719,39,17185573,
88711,39,19317656,
88871,39,17703802,
88879,39,18610469,
89031,39,16060417,
89039,39,16027709,
89199,39,17115677,
89191,39,17669115,
89359,39,18347969,
89351,39,21474219,
90343,39,15484323,
90351,39,15307656,
90503,39,16025104,
90511,39,17717917,
90631,39,16575052,
90639,39,16378125,
90759,39,17193177,
90767,39,15769896,
90887,39,17424532,
90895,39,18306145,
91015,39,18389271,
91023,39,21609896,
91111,39,18928698,
91119,39,18473021,
91207,39,17754584,
91215,39,19141510,
91375,39,19387135,
91367,39,21653906,
91335,39,14709323,
91343,39,17408229,
91471,39,15075677,
91463,39,15562240,
92423,39,15995781,
92431,39,18231667,
92391,39,15749063,
92399,39,15925416,
92559,39,18577552,
92551,39,19860312,
92679,39,17509010,
92687,39,17306302,
92647,39,14626459,
92655,39,15427448,
92807,39,16880312,
92815,39,17490209,
92935,39,15951563,
92943,39,17055209,
92903,39,15949167,
92911,39,15478386,
93039,39,15063437,
93031,39,15856666,
93191,39,17854427,
93199,39,18287292,
93159,39,17571146,
93167,39,17792656,
93287,39,16561615,
93295,39,14422604,
93423,39,16243281,
93415,39,17657709,
93551,39,17265000,
93543,39,18934063,
93511,39,14995208,
93519,39,14759115,
94567,39,17729062,
94575,39,18050104,
94695,39,18260261,
94703,39,17648646,
94663,39,18377552,
94671,39,19487812,
94791,39,17190052,
94799,39,15620260,
94887,39,14748177,
95023,39,18030521,
95015,39,20087083,
94983,39,15081979,
94991,39,14761771,
95119,39,17131094,
95111,39,18573177,
95239,39,15709896,
95247,39,18210573,
95343,39,16798177,
95335,39,20098803,
95351,39,15708541,
95359,39,17755365,
95447,39,16483803,
95455,39,17245782,
95543,39,16122552,
95551,39,17385886,
95575,39,18746303,
95583,39,19005104,
97343,39,17716875,
97335,39,20664948,
97439,39,16185990,
97431,39,18536718,
97527,39,15519219,
97535,39,17889062,
97623,39,18031510,
97631,39,19605990,
97719,39,17328021,
97727,39,17127760,
97823,39,14767656,
97815,39,15397136,
97911,39,17214427,
97919,39,18380416,
97951,39,14442083,
97943,39,17806823,
98047,39,14698281,
98039,39,18710104,
98143,39,17358229,
98135,39,17472187,
98231,39,17701667,
98239,39,18155469,
98783,39,16797969,
98775,39,18276667,
98871,39,16100156,
98879,39,17273750,
98975,39,15705000,
98967,39,17436458,
99063,39,17776093,
99071,39,18415469,
99159,39,17092813,
99167,39,17400521,
99263,39,15331511,
99255,39,17571770,
99359,39,16013437,
99351,39,19085886,
99455,39,15849167,
99447,39,18423125,
99543,39,17915885,
99551,39,18755937,
99639,39,16840782,
99647,39,17633334,
100223,39,15237292,
100215,39,16572865,
100319,39,16252396,
100311,39,17550781,
100407,39,15954896,
100415,39,16753594,
100535,39,16525833,
100543,39,16543073,
100631,39,16357552,
100639,39,18610364,
100727,39,16011146,
100735,39,16592083,
100823,39,18178698,
100831,39,18405156,
100927,39,16282031,
100919,39,17312343,
101055,39,16994166,
101047,39,18395573,
101151,39,16757969,
101143,39,18937969,
101175,39,17993541,
101183,39,18754583,
101823,39,16264062,
101815,39,20796094,
101911,39,15917969,
101919,39,17922500,
102007,39,15388386,
102015,39,15560156,
102103,39,17813698,
102111,39,18120469,
102199,39,15627500,
102207,39,16023385,
102303,39,14828438,
102295,39,16719115,
102391,39,14915312,
102399,39,14982083,
102487,39,17555417,
102495,39,18219896,
102623,39,16422864,
102615,39,16765261,
102711,39,16788229,
