quality,ts,
16,15,31397813,
24,15,38828750,
8,15,40001041,
0,15,39797292,
95624,15,22274011,
95632,15,21780625,
3896,15,33929844,
3880,15,30624427,
3888,15,63103907,
41808,15,28070104,
41816,15,30060208,
41792,15,28122188,
41800,15,27037917,
59528,15,21404635,
59536,15,21077500,
59520,15,21256823,
84520,15,25233437,
84528,15,25616094,
84512,15,25737031,
87048,15,37744739,
87056,15,66425208,
87040,15,59109635,
89472,15,18235417,
89480,15,19327969,
91520,15,21017708,
91528,15,27243802,
91536,15,20223437,
91544,15,28188489,
93600,15,21419688,
93624,15,24625677,
93608,15,30709844,
96600,15,32470990,
96584,15,61167136,
96592,15,69572344,
96576,15,73290573,
98296,15,44866667,
98272,15,57243802,
98280,15,62529791,
98288,15,71859114,
99704,15,21253593,
99680,15,23706406,
99688,15,33409739,
101224,15,19534167,
101232,15,24717656,
101240,15,30055365,
101216,15,24425729,
102760,15,22547656,
102768,15,29137500,
102776,15,23257864,
102752,15,30636146,
105360,15,23167448,
105368,15,33480364,
105352,15,48399896,
105344,15,52287709,
109568,15,39483802,
109576,15,33731510,
109584,15,32008958,
109592,15,24517865,
118352,15,23673073,
118360,15,22145260,
126192,15,28367552,
126200,15,31359323,
133040,15,25023125,
133048,15,29875156,
133296,15,27612916,
133304,15,38770468,
5232,15,31335677,
5240,15,33830834,
14480,15,32124687,
14488,15,33951250,
20720,15,27187969,
20560,15,22418750,
20568,15,27616093,
28272,15,24797656,
28280,15,54976979,
33520,15,41803958,
33528,15,57195052,
34736,15,41858959,
34744,15,68414375,
34832,15,76251979,
34840,15,77932031,
35792,15,85982396,
35800,15,86551719,
36752,15,59376198,
36760,15,59572031,
37752,15,56603907,
37744,15,67337448,
39440,15,40911667,
39448,15,43979167,
39504,15,30061302,
39512,15,39929479,
20728,15,18402812,
126416,15,17988229,
118344,15,20625937,
118336,15,17291250,
126184,15,28971511,
126176,15,24663906,
133024,15,25855834,
133032,15,20866146,
4960,15,54047292,
4968,15,63315781,
4984,15,64575990,
4976,15,70254011,
14296,15,40091302,
14272,15,52965313,
14280,15,71976979,
14288,15,95231770,
20520,15,30496250,
20512,15,30033542,
20528,15,22594167,
20536,15,21320781,
28224,15,25000625,
28232,15,35531667,
28240,15,23541146,
28248,15,28456146,
33488,15,27241563,
33480,15,43965573,
33496,15,31331615,
33472,15,38372292,
34696,15,23560833,
34688,15,43520104,
34704,15,26025573,
34712,15,20944948,
35704,15,16303281,
35688,15,17222188,
35696,15,22121354,
35680,15,18668490,
36640,15,16080521,
36648,15,14819739,
36656,15,14047291,
36664,15,15551667,
37608,15,22918958,
37600,15,19540573,
39344,15,16023542,
39336,15,15375313,
39352,15,16179010,
39328,15,18508333,
42344,15,15039167,
42352,15,14509218,
42336,15,15631459,
44264,15,14308177,
44256,15,16581458,
44272,15,15225937,
42496,15,16676979,
42504,15,14111354,
42512,15,14973437,
39584,15,19050469,
39360,15,14302865,
39368,15,14553282,
39376,15,16617344,
37632,15,15537968,
37640,15,16633594,
37648,15,15010156,
37736,15,14374271,
37728,15,16988281,
37744,15,14321354,
36736,15,16601615,
36744,15,17943541,
36752,15,19608906,
36864,15,17095625,
36872,15,16265834,
36880,15,17150416,
35904,15,16690885,
35912,15,20071563,
35920,15,14846093,
35936,15,14099584,
35944,15,14270833,
35952,15,16121406,
34912,15,16804115,
34920,15,17616146,
34928,15,15874323,
34944,15,14664843,
34952,15,15466562,
34960,15,16412395,
39592,15,14684688,
39600,15,14203698,
44280,15,18903490,
45088,15,19532187,
45096,15,17451041,
45104,15,17504532,
45112,15,19056927,
45864,15,21941823,
45872,15,13811979,
45856,15,14137188,
47136,15,17943906,
47144,15,18572292,
47152,15,14235313,
48136,15,16146406,
48144,15,15651510,
48128,15,16658490,
49056,15,16533959,
49064,15,15857552,
49072,15,15567656,
49080,15,14304167,
50040,15,38219010,
50032,15,47054115,
50016,15,16201875,
50024,15,18891719,
51944,15,14709219,
51952,15,18282605,
51960,15,15174167,
51936,15,16320625,
52136,15,15172864,
52144,15,17788177,
50056,15,15053333,
50064,15,15145052,
50120,15,13620521,
50128,15,16662031,
50152,15,14859583,
50160,15,14855989,
50216,15,14186719,
50224,15,16532032,
49192,15,15414480,
49200,15,15701563,
49224,15,14477032,
49232,15,13641875,
49288,15,15297500,
49296,15,16273385,
48296,15,16422552,
48304,15,16945104,
48328,15,15228125,
48336,15,14636823,
48360,15,17852500,
48368,15,49765990,
47368,15,21118073,
47376,15,14246875,
47400,15,16090729,
47408,15,13934791,
47432,15,15043125,
47440,15,16334427,
46344,15,14788594,
46352,15,17168333,
46376,15,15751614,
46384,15,13963125,
46408,15,16494948,
46416,15,17370365,
46440,15,16592343,
46448,15,14872708,
46312,15,16600520,
46320,15,15693489,
46280,15,14547968,
46288,15,14086667,
46248,15,14962343,
46256,15,14791771,
46216,15,14494844,
46224,15,19622083,
46184,15,18514583,
46192,15,14680937,
46152,15,15006355,
46160,15,17569740,
46088,15,16349375,
46096,15,14016094,
46056,15,20526979,
46064,15,18261407,
45960,15,15627083,
45968,15,14147240,
47240,15,15078073,
47248,15,15410990,
47176,15,14935886,
47184,15,15870625,
47336,15,15189479,
47344,15,15507240,
47144,15,16822188,
47152,15,15287395,
47136,15,17512344,
47160,15,17530209,
48136,15,15217552,
48128,15,15759584,
48144,15,15842343,
48152,15,18607500,
49056,15,16318802,
49064,15,18463698,
49072,15,14505104,
45856,15,17693125,
45880,15,15668906,
45864,15,14040000,
45872,15,15386302,
45104,15,13227917,
45112,15,14202135,
45096,15,17935365,
45088,15,16767448,
44264,15,17173542,
44272,15,19057344,
44280,15,15620781,
44256,15,16261355,
42344,15,16675469,
42360,15,16938125,
42336,15,16957395,
42352,15,13389479,
39336,15,18154844,
39344,15,15911875,
39352,15,19199843,
37608,15,19052396,
37616,15,19587760,
37624,15,14305468,
36656,15,14721979,
36648,15,17377031,
36664,15,14676771,
36640,15,17232500,
35696,15,14312761,
35704,15,17163802,
35688,15,16336302,
35680,15,18605417,
34688,15,17501875,
34696,15,16781042,
34704,15,14439844,
34712,15,15357500,
33472,15,16204584,
33480,15,13748333,
33488,15,16154323,
33496,15,17424167,
28232,15,16050573,
28240,15,17602448,
28248,15,17569844,
28224,15,18541771,
20528,15,21925573,
20536,15,27325834,
20520,15,46708489,
20512,15,43019843,
14272,15,19659219,
14280,15,26378125,
14288,15,18002240,
14296,15,17216771,
4968,15,16101198,
4976,15,13981511,
4984,15,13410156,
4960,15,17951146,
133032,15,16189896,
133048,15,14791562,
133040,15,15450990,
133024,15,14063593,
126192,15,14597708,
126184,15,14494063,
126200,15,15725157,
118344,15,14866771,
118336,15,17806719,
118352,15,16442136,
118360,15,13877916,
109584,15,15754271,
109592,15,15656770,
109576,15,18996615,
105368,15,20311719,
105344,15,19954688,
105352,15,19414166,
105360,15,14336407,
