quality,ts,
22,19,28581927,
32,19,33630573,
12,19,13327031,
2,19,31191770,
119542,19,37023125,
119532,19,40135417,
4852,19,18321250,
4862,19,16610208,
4872,19,17134583,
52262,19,14776146,
52272,19,13821719,
52242,19,14487448,
52252,19,14621094,
74422,19,13367968,
74412,19,15666250,
74402,19,13375520,
105652,19,14944063,
105662,19,13914687,
105642,19,13267917,
108812,19,13622447,
108822,19,17186458,
108802,19,13888750,
111842,19,16053854,
111852,19,13647083,
114402,19,14452761,
114412,19,19145677,
114422,19,14357240,
114432,19,15382031,
117002,19,13607031,
117032,19,14688385,
117012,19,14407188,
120722,19,14498646,
120752,19,13659375,
120732,19,14884218,
120742,19,14025572,
122872,19,14485729,
122842,19,13494479,
122852,19,15762396,
122862,19,14147136,
124632,19,13567187,
124602,19,14528281,
124612,19,14368333,
126542,19,16169219,
126532,19,18740990,
126522,19,14001042,
126552,19,16929531,
128452,19,14763229,
128462,19,17322656,
128472,19,13252136,
128442,19,15083385,
131702,19,13303385,
131712,19,15459011,
131692,19,18008542,
131682,19,16223021,
136962,19,18098489,
136972,19,20068125,
136982,19,20807136,
136992,19,16429166,
147942,19,16405052,
147952,19,18287864,
157742,19,18035834,
157752,19,21027239,
166302,19,16380260,
166312,19,19849635,
166622,19,20760261,
166632,19,16976823,
6542,19,19505781,
6552,19,19008386,
18102,19,16692396,
18112,19,15688333,
25902,19,17314896,
25702,19,17893281,
25712,19,17346354,
35342,19,18202344,
35352,19,15301459,
41902,19,15586562,
41912,19,14678750,
43422,19,15146823,
43432,19,15760209,
43542,19,14702135,
44742,19,14696250,
44752,19,14964636,
45942,19,16010312,
45952,19,18599115,
47182,19,18130990,
47192,19,15219010,
49302,19,14612865,
49382,19,15342552,
49392,19,24263282,
49312,19,17036458,
25912,19,19253594,
158022,19,19935208,
147932,19,26561041,
147922,19,18932135,
157732,19,18752604,
157722,19,17239219,
166282,19,19432136,
166292,19,18583802,
6202,19,22134792,
6212,19,20180520,
6222,19,29857656,
6232,19,19245052,
17842,19,21577604,
17872,19,32225938,
17852,19,23176303,
17862,19,15663125,
25662,19,21902188,
25652,19,27215729,
25642,19,19957292,
25672,19,23300625,
35282,19,19206406,
35292,19,34307032,
35302,19,31617656,
35312,19,24306771,
41852,19,15980625,
41862,19,17079583,
41872,19,16949167,
41842,19,22823541,
43362,19,19062552,
43372,19,27308958,
43382,19,16989895,
43392,19,17302240,
44632,19,18448854,
44602,19,22174063,
44612,19,16211667,
44622,19,15229792,
45802,19,15474271,
45812,19,15149739,
45832,19,16717605,
45822,19,19180104,
47022,19,17500469,
47012,19,22800468,
47002,19,15351614,
49182,19,18841770,
49172,19,17224531,
49192,19,18022552,
49162,19,16809010,
52922,19,15976667,
52932,19,19262813,
52942,19,18349010,
55332,19,18064532,
55322,19,16513698,
55342,19,15450677,
53122,19,19983958,
53142,19,16325052,
53132,19,18499427,
49482,19,19252604,
49492,19,18661406,
49202,19,16455000,
49212,19,17015469,
49222,19,18859010,
47042,19,23306615,
47052,19,19112135,
47062,19,18684688,
47172,19,17572864,
47162,19,21549635,
47182,19,15113854,
45922,19,17489011,
45932,19,18295052,
45942,19,15005260,
46082,19,14859479,
46092,19,14868906,
46102,19,20896146,
44882,19,16267657,
44892,19,17750990,
44902,19,17991562,
44922,19,14425208,
44932,19,18453021,
44942,19,14782916,
43642,19,14667396,
43682,19,14730364,
43692,19,13578646,
43702,19,16408802,
43652,19,17190677,
43662,19,19337813,
49502,19,17632604,
55352,19,16481354,
56362,19,19639791,
56372,19,16979114,
56392,19,17008907,
56382,19,20594219,
57332,19,17660781,
57342,19,16224583,
57322,19,18130104,
58922,19,17599010,
58932,19,16757916,
58942,19,18935886,
60172,19,17113802,
60182,19,17636615,
60162,19,19822240,
61322,19,18107448,
61332,19,21981927,
61342,19,15227447,
61352,19,18972500,
62542,19,16039479,
62552,19,18192708,
62532,19,17288386,
62522,19,15361146,
64932,19,16960156,
64942,19,17401250,
64952,19,14961406,
64922,19,16177552,
65172,19,17922032,
65182,19,15662396,
64972,19,16316093,
64982,19,14919635,
62572,19,14012969,
62582,19,14406510,
62652,19,15236875,
62662,19,15262604,
62692,19,16872552,
62702,19,21042761,
62772,19,14653230,
62782,19,15954531,
61492,19,16119688,
61502,19,14816979,
61532,19,14212656,
61542,19,16692813,
61612,19,18847761,
61622,19,16955208,
61652,19,15165990,
60372,19,16072031,
60382,19,15046979,
60412,19,14600260,
60422,19,14481927,
60452,19,17506042,
60462,19,14933438,
59212,19,15928386,
59222,19,19553906,
59252,19,14875521,
59262,19,13635157,
59292,19,14562344,
59302,19,17254375,
57932,19,14671041,
57942,19,15542083,
57972,19,14246979,
57982,19,15169271,
58012,19,16784896,
58022,19,22761615,
58052,19,15547292,
58062,19,14658021,
57892,19,15666875,
57902,19,17122083,
57852,19,15742968,
57862,19,14340625,
57812,19,15349167,
57822,19,15385625,
57772,19,15578073,
57782,19,14425989,
57732,19,14883750,
57742,19,14775573,
57692,19,16699948,
57702,19,15973854,
57612,19,15953750,
57622,19,16082343,
57572,19,16563438,
57582,19,17195573,
57452,19,17725104,
57462,19,16343021,
59052,19,20762135,
59062,19,18681510,
58972,19,15898645,
58982,19,15139062,
59172,19,15292344,
59182,19,16372865,
58932,19,14746197,
58942,19,14620469,
58922,19,20175156,
