quality,ts,
28,41,38284218,
38,41,41446094,
18,41,53807396,
8,41,53236406,
119538,41,17156562,
119558,41,17872500,
119548,41,20816563,
4868,41,15808021,
4858,41,19657292,
4878,41,14975417,
52268,41,19210781,
52278,41,20344895,
52248,41,14337448,
52258,41,54898541,
74428,41,14449323,
74418,41,17268542,
74408,41,18355468,
105668,41,14507396,
105658,41,15343907,
105648,41,17761667,
108828,41,19124584,
108818,41,20063802,
108808,41,15761563,
111848,41,18336354,
111858,41,18877917,
114408,41,18415312,
114418,41,19804323,
114428,41,16746303,
114438,41,18136510,
117018,41,14452083,
117008,41,21012708,
117038,41,22051198,
117028,41,26535885,
120738,41,17801875,
120728,41,19427604,
120758,41,20037344,
120748,41,21351667,
122878,41,19669531,
122848,41,19857656,
122858,41,15647917,
122868,41,15369010,
124638,41,20110521,
124618,41,20436562,
124608,41,23797083,
126538,41,23199011,
126548,41,27270989,
126558,41,20451250,
126528,41,22773386,
128458,41,19117917,
128478,41,22093177,
128468,41,25847864,
128448,41,18902552,
131708,41,23138906,
131718,41,28392135,
131698,41,17324792,
131688,41,16001511,
136968,41,17637656,
136978,41,17689791,
136988,41,18931563,
136998,41,21473802,
147958,41,18205625,
147948,41,23581042,
157748,41,19537500,
157758,41,22911458,
166308,41,20018646,
166318,41,22268385,
166628,41,18600781,
166638,41,26404063,
6548,41,16612136,
6558,41,20364844,
18108,41,21243177,
18118,41,19639739,
25918,41,18864219,
25908,41,24153073,
25708,41,15391875,
25718,41,16940000,
35348,41,19151667,
35358,41,24794479,
41908,41,21300938,
41918,41,27983854,
43428,41,18424010,
43438,41,22838177,
43558,41,19245365,
43548,41,24757969,
44748,41,16545677,
44758,41,17843698,
45948,41,28010104,
45958,41,30229427,
47198,41,19034947,
47188,41,19669687,
49308,41,20006406,
49318,41,23611354,
49398,41,18051823,
49388,41,21884427,
158028,41,22601771,
158038,41,25870677,
147938,41,22237083,
147928,41,18768854,
157738,41,20106458,
157728,41,20581407,
166288,41,18943021,
166298,41,18711355,
6208,41,18034270,
6218,41,21714583,
6228,41,22110885,
6238,41,23732604,
17858,41,20104375,
17878,41,27711615,
17848,41,28694584,
17868,41,19019271,
25658,41,21943124,
25668,41,29000417,
25648,41,16691146,
25678,41,21193282,
35298,41,19757396,
35288,41,20650781,
35308,41,17651250,
35318,41,20691145,
41858,41,18176511,
41868,41,17885573,
41878,41,19992396,
41848,41,19077083,
43368,41,17266250,
43388,41,15126875,
43378,41,18794218,
43398,41,18927448,
44638,41,19304375,
44608,41,18406979,
44618,41,26833386,
44628,41,17338854,
45818,41,19035469,
45808,41,20540000,
45838,41,18751093,
45828,41,20404010,
47028,41,17150208,
47018,41,18403125,
47008,41,14517240,
49188,41,18060468,
