12,15,72378646
18,15,70442708
6,15,27104166
0,15,23118229
71718,15,24445312
2910,15,24576562
2916,15,24158855
71724,15,78128125
31356,15,33035937
31362,15,26586459
31350,15,23616667
31344,15,23621355
44646,15,22377604
44652,15,20342188
44640,15,29359896
63390,15,26675521
63396,15,30999479
63384,15,26286979
65280,15,28065104
65286,15,31161459
65292,15,23900521
67104,15,26141666
67110,15,22798438
68640,15,34215105
68646,15,31665625
68652,15,24218750
68658,15,27740625
70206,15,21183333
70212,15,22899480
70218,15,22270312
70200,15,23564063
72438,15,24995833
72444,15,33296875
72450,15,29661980
72432,15,23055208
73722,15,24470833
73704,15,24918230
73710,15,23771875
73716,15,24523959
74778,15,20675521
74760,15,22309375
74766,15,20851562
75918,15,23723438
75924,15,22670833
75930,15,24114583
75912,15,24677084
77070,15,23207812
77076,15,29840105
77082,15,24222396
77064,15,24911979
79020,15,25039063
79026,15,28912500
79014,15,22986458
79008,15,22689584
82176,15,23852604
82182,15,32063542
82188,15,27072395
82194,15,21248437
88764,15,22827083
88770,15,21544792
94644,15,24114583
94650,15,22819792
99780,15,35081250
99786,15,32636979
3924,15,25516666
3930,15,25407291
10860,15,25596354
10866,15,22471875
15540,15,35264584
15546,15,33365625
15420,15,25920312
15426,15,26373958
21204,15,22517188
21210,15,20996875
25140,15,22805208
25146,15,22410938
26052,15,26133855
26058,15,22669792
26124,15,26740104
26130,15,24351042
26844,15,26516667
26850,15,26435417
27564,15,24181771
27570,15,23620313
28308,15,26809895
28314,15,26771355
29580,15,23704167
29586,15,25185416
29628,15,26509896
29634,15,24154687
99972,15,22908333
99978,15,25607292
94812,15,32401042
94818,15,25706250
88758,15,27600521
88752,15,28080209
94638,15,26592708
94632,15,24113542
99768,15,21771354
99774,15,25213020
3720,15,24001563
3726,15,28802604
3732,15,26492708
3738,15,25318229
10722,15,21173959
10704,15,22356771
10710,15,26198437
10716,15,24597916
15390,15,25484375
15396,15,25904166
15384,15,22997917
15402,15,20833854
21168,15,32824479
21174,15,26606250
21180,15,23389584
21186,15,26430729
25110,15,27407292
25116,15,24630208
25122,15,29829167
25104,15,23953125
26016,15,27651563
26022,15,22405209
26028,15,28243229
26034,15,23323959
26778,15,26222396
26760,15,25492708
26766,15,22861458
26772,15,23780729
27480,15,23142708
27486,15,23382291
27492,15,23053125
27498,15,23223437
28206,15,22614062
28212,15,25002605
28200,15,25650521
29508,15,22845313
29514,15,24798959
29502,15,24728125
29496,15,27149479
31752,15,23107292
31758,15,23530208
31764,15,21625000
33198,15,22032812
33192,15,21804167
33204,15,28033333
31872,15,22214062
31878,15,21572917
31884,15,20544270
29688,15,19775000
29694,15,21265104
29700,15,23260937
29520,15,23314063
29526,15,23594791
29532,15,21655729
28224,15,19652083
28230,15,20696354
28236,15,20604687
28296,15,26867188
28302,15,27420833
28308,15,28014063
27552,15,23945313
27558,15,24984896
27564,15,24251563
27648,15,23841146
27654,15,25985416
27660,15,25109375
26928,15,21926042
26934,15,21483854
26940,15,24378645
