66.755974,
66.165085,
66.69641,
66.00442,
66.6518,
63.698338,
66.44444,
65.570175,
66.2237,
43.71984,
66.2237,
66.23837,
40.427258,
65.11324,
66.2237,
65.34091,
66.6518,
66.2237,
64.08058,
66.47399,
30.244791,
14.485732,
65.786575,
64.91533,
65.15581,
66.63695,
58.284603,
65.5558,
64.52309,
65.39808,
65.34091,
66.47399,
64.12181,
65.5558,
64.91533,
65.36948,
66.00442,
65.786575,
66.42968,
65.39808,
64.92943,
66.47399,
65.14161,
65.74319,
66.42968,
64.09432,
66.194374,
66.6518,
64.94353,
65.97529,
66.194374,
65.570175,
65.570175,
66.44444,
65.83003,
64.32874,
64.52309,
65.97529,
66.44444,
