slot, allocate quality, display quality,pose,delay, throughput, video size
86,3,3,(0 0 -6.369629 61.762665),0.0,0.0,0
87,3,3,(0 0 -6.360138 61.679276),0.0,0.0,0
88,3,3,(0 0 -6.341675 61.602158),0.0,0.0,0
89,3,3,(0 0 -6.369217 61.508087),0.0,0.0,0
90,3,3,(0 0 -6.370804 61.413437),0.0,0.0,0
91,3,3,(0 0 -6.372406 61.318787),0.0,0.0,0
92,3,3,(0 0 -6.384918 61.253143),0.0,0.0,0
93,3,3,(0 0 -6.385132 61.189392),0.0,0.0,0
94,3,3,(0 0 -6.38533 61.12564),0.0,0.0,0
95,3,3,(0 0 -6.385803 61.024826),0.0,0.0,0
96,3,3,(0 0 -6.371643 60.972473),0.0,0.0,0
97,3,3,(0 0 -6.3574677 60.92012),0.0,0.0,0
98,3,3,(0 0 -6.3253937 60.85942),0.0,0.0,0
99,3,3,(0 0 -6.273224 60.822372),0.0,0.0,0
100,3,3,(0 0 -6.2210693 60.785324),0.0,0.0,0
101,3,3,(0 0 -6.1781006 60.752136),0.0,0.0,0
102,3,3,(0 0 -6.150528 60.71431),0.0,0.0,0
103,3,3,(0 0 -6.1229553 60.6765),0.0,0.0,0
104,3,3,(0 0 -6.075241 60.6232),0.0,0.0,0
105,3,3,(0 0 -6.0498047 60.559814),0.0,0.0,0
106,3,3,(0 0 -6.010559 60.503113),0.0,0.0,0
107,3,3,(0 0 -5.971298 60.44641),0.0,0.0,0
108,3,3,(0 0 -5.946579 60.310486),0.0,0.0,0
109,3,3,(0 0 -5.9240723 60.19156),0.0,0.0,0
110,3,3,(0 0 -5.9015503 60.07263),0.0,0.0,0
111,3,3,(0 0 -5.8983154 59.99565),0.0,0.0,0
112,3,3,(0 0 -5.9053497 59.825424),0.0,0.0,0
113,3,3,(0 0 -5.912384 59.655212),0.0,0.0,0
114,3,3,(0 0 -5.9116974 59.508896),0.0,0.0,0
115,3,3,(0 0 -5.9183807 59.384903),0.0,0.0,0
116,3,3,(0 0 -5.925064 59.260925),0.0,0.0,0
117,3,3,(0 0 -5.883789 59.105255),0.0,0.0,0
118,3,3,(0 0 -5.8326263 58.964767),0.0,0.0,0
119,3,3,(0 0 -5.7814484 58.82428),0.0,0.0,0
120,3,3,(0 0 -5.7391357 58.697845),0.0,0.0,0
121,3,3,(0 0 -5.7654724 58.614944),0.0,0.0,0
122,3,3,(0 0 -5.7918243 58.532043),0.0,0.0,0
123,3,3,(0 0 -5.749466 58.421738),0.0,0.0,0
124,3,3,(0 0 -5.7071686 58.2238),0.0,0.0,0
125,3,3,(0 0 -5.6648865 58.025864),0.0,0.0,0
126,3,3,(0 0 -5.609619 57.773727),0.0,0.0,0
127,3,3,(0 0 -5.5782623 57.51091),0.0,0.0,0
128,3,3,(0 0 -5.5469055 57.248108),0.0,0.0,0
129,3,3,(0 0 -5.5064087 56.976715),0.0,0.0,0
130,3,3,(0 0 -5.4391327 56.619125),0.0,0.0,0
131,3,3,(0 0 -5.3718567 56.261536),0.0,0.0,0
132,3,3,(0 0 -5.306534 55.76834),0.0,0.0,0
133,3,3,(0 0 -5.1881714 55.16339),0.0,0.0,0
134,3,3,(0 0 -5.069809 54.55844),0.0,0.0,0
135,3,3,(0 0 -5.0165405 53.928284),0.0,0.0,0
136,3,3,(0 0 -5.0272827 53.304306),0.0,0.0,0
137,3,3,(0 0 -5.038025 52.68033),0.0,0.0,0
138,3,3,(0 0 -5.008484 52.14331),0.0,0.0,0
139,3,3,(0 0 -4.9935913 51.590393),0.0,0.0,0
140,3,3,(0 0 -4.9786835 51.037476),0.0,0.0,0
141,3,3,(0 0 -4.9594727 50.585205),0.0,0.0,0
142,3,3,(0 0 -4.9179688 50.163895),0.0,0.0,0
143,3,3,(0 0 -4.87648 49.74257),0.0,0.0,0
144,3,3,(0 0 -4.82605 49.231308),0.0,0.0,0
145,3,3,(0 0 -4.79895 48.840088),0.0,0.0,0
146,3,3,(0 0 -4.7469482 48.437714),0.0,0.0,0
147,3,3,(0 0 -4.6949463 48.035355),0.0,0.0,0
148,3,3,(0 0 -4.683853 47.64586),0.0,0.0,0
149,3,3,(0 0 -4.6727753 47.256363),0.0,0.0,0
150,3,3,(0 0 -4.5454407 46.839462),0.0,0.0,0
151,3,3,(0 0 -4.465561 46.429047),0.0,0.0,0
152,3,3,(0 0 -4.385666 46.018646),0.0,0.0,0
153,3,3,(0 0 -4.362564 45.634613),0.0,0.0,0
154,3,3,(0 0 -4.316742 45.222534),0.0,0.0,0
155,3,3,(0 0 -4.2301483 44.68994),0.0,0.0,0
156,3,3,(0 0 -4.1435547 44.15738),0.0,0.0,0
157,3,3,(0 0 -4.0378876 43.46013),0.0,0.0,0
158,3,3,(0 0 -3.938385 42.753784),0.0,0.0,0
159,3,3,(0 0 -3.8388672 42.047455),0.0,0.0,0
160,3,3,(0 0 -3.8297577 41.495316),0.0,0.0,0
161,3,3,(0 0 -3.8206482 40.94319),0.0,0.0,0
162,3,3,(0 0 -3.7271729 40.324905),0.0,0.0,0
163,3,3,(0 0 -3.7220917 39.705475),0.0,0.0,0
164,3,3,(0 0 -3.690094 39.030975),0.0,0.0,0
165,3,3,(0 0 -3.6580963 38.35649),0.0,0.0,0
166,3,3,(0 0 -3.5953522 37.75769),0.0,0.0,0
167,3,3,(0 0 -3.4656982 37.152893),0.0,0.0,0
168,3,3,(0 0 -3.3360443 36.54811),0.0,0.0,0
169,3,3,(0 0 -3.234192 35.924164),0.0,0.0,0
170,3,3,(0 0 -3.0996704 35.22827),0.0,0.0,0
171,3,3,(0 0 -2.9651337 34.532394),0.0,0.0,0
172,3,3,(0 0 -2.7970276 33.83087),0.0,0.0,0
173,3,3,(0 0 -2.7076569 33.22467),0.0,0.0,0
174,3,3,(0 0 -2.6183014 32.618454),0.0,0.0,0
175,3,3,(0 0 -2.6001892 32.082108),0.0,0.0,0
176,3,3,(0 0 -2.579834 31.59729),0.0,0.0,0
177,3,3,(0 0 -2.5594788 31.112473),0.0,0.0,0
178,3,3,(0 0 -2.449173 30.663712),0.0,0.0,0
179,3,3,(0 0 -2.389618 30.207031),0.0,0.0,0
180,3,3,(0 0 -2.3300781 29.750336),0.0,0.0,0
181,3,3,(0 0 -2.3032684 29.296814),0.0,0.0,0
182,3,3,(0 0 -2.291214 28.876816),0.0,0.0,0
183,3,3,(0 0 -2.2791595 28.456802),0.0,0.0,0
184,3,3,(0 0 -2.2058716 28.057648),0.0,0.0,0
185,3,3,(0 0 -2.1411896 27.55481),0.0,0.0,0
186,3,3,(0 0 -2.0765076 27.051971),0.0,0.0,0
187,3,3,(0 0 -1.9911041 26.609406),0.0,0.0,0
188,3,3,(0 0 -1.9142761 26.173706),0.0,0.0,0
189,3,3,(0 0 -1.8374481 25.737991),0.0,0.0,0
190,3,3,(0 0 -1.7808075 25.237518),0.0,0.0,0
191,3,3,(0 0 -1.7650299 24.775452),0.0,0.0,0
192,3,3,(0 0 -1.7492523 24.313416),0.0,0.0,0
193,3,3,(0 0 -1.7527008 23.914932),0.0,0.0,0
194,3,3,(0 0 -1.7061615 23.459198),0.0,0.0,0
195,3,3,(0 0 -1.6535492 23.039017),0.0,0.0,0
196,3,3,(0 0 -1.6009369 22.61885),0.0,0.0,0
197,3,3,(0 0 -1.551178 22.236084),0.0,0.0,0
198,3,3,(0 0 -1.5014038 21.853302),0.0,0.0,0
199,3,3,(0 0 -1.5081024 21.404068),0.0,0.0,0
200,3,3,(0 0 -1.4354553 20.977936),0.0,0.0,0
201,3,3,(0 0 -1.4107666 20.59967),0.0,0.0,0
202,3,3,(0 0 -1.3860626 20.22139),0.0,0.0,0
203,3,3,(0 0 -1.2863922 19.821548),0.0,0.0,0
204,3,3,(0 0 -1.1890869 19.445404),0.0,0.0,0
205,3,3,(0 0 -1.0917969 19.06926),0.0,0.0,0
206,3,3,(0 0 -0.9744873 18.774857),0.0,0.0,0
207,3,3,(0 0 -0.9004669 18.427094),0.0,0.0,0
208,3,3,(0 0 -0.8264618 18.079315),0.0,0.0,0
209,3,3,(0 0 -0.8097534 17.810608),0.0,0.0,0
210,3,3,(0 0 -0.7850189 17.509293),0.0,0.0,0
211,3,3,(0 0 -0.76026917 17.207977),0.0,0.0,0
212,3,3,(0 0 -0.7201538 16.856995),0.0,0.0,0
213,3,3,(0 0 -0.72450256 16.557526),0.0,0.0,0
214,3,3,(0 0 -0.7288513 16.258057),0.0,0.0,0
215,3,3,(0 0 -0.7657013 15.985046),0.0,0.0,0
216,3,3,(0 0 -0.76057434 15.742645),0.0,0.0,0
217,3,3,(0 0 -0.75546265 15.500244),0.0,0.0,0
218,3,3,(0 0 -0.7622986 15.260086),0.0,0.0,0
219,3,3,(0 0 -0.77557373 15.016907),0.0,0.0,0
220,3,3,(0 0 -0.7888336 14.773727),0.0,0.0,0
221,3,3,(0 0 -0.87353516 14.503571),0.0,0.0,0
