66.69641,
66.20904,
65.58456,
65.801056,
65.98985,
66.44444,
66.44444,
60.040165,
65.7721,
64.73263,
66.44444,
65.570175,
65.7721,
66.03357,
66.6518,
66.6221,
66.44444,
66.01899,
66.6518,
66.23837,
66.23837,
64.71861,
63.481953,
65.38377,
65.786575,
65.36948,
63.87524,
65.786575,
65.570175,
62.881176,
65.786575,
66.44444,
64.71861,
64.94353,
64.71861,
66.20904,
65.127426,
66.45921,
64.73263,
64.3149,
64.52309,
63.916203,
64.70461,
64.495255,
66.666664,
63.495434,
65.98985,
66.01899,
64.92943,
65.5558,
66.45921,
65.786575,
66.20904,
66.23837,
65.570175,
66.01899,
66.42968,
64.94353,
66.00442,
66.42968,
65.34091,
66.00442,
65.15581,
66.666664,
66.42968,
