12,15,23954010,
18,15,20682396,
6,15,21909427,
0,15,22363229,
71724,15,15235677,
71718,15,23747656,
2922,15,12503855,
2916,15,21086875,
2910,15,15014062,
31356,15,25191041,
31362,15,25045521,
31350,15,12765833,
31344,15,14192865,
44646,15,12450521,
44652,15,18811145,
44640,15,16213854,
63390,15,14675677,
63396,15,14100260,
63384,15,13485208,
65286,15,12652552,
65292,15,13313333,
65280,15,12569270,
67104,15,12869323,
67110,15,15823282,
68640,15,12912656,
68646,15,16210365,
68652,15,12853698,
68658,15,13165260,
70206,15,16304531,
70200,15,16762604,
70218,15,16103645,
72432,15,13987708,
72438,15,13071303,
72450,15,13568073,
72444,15,12815937,
73722,15,12737708,
73704,15,14727708,
73710,15,13391979,
73716,15,13187969,
74778,15,13617344,
74760,15,13970625,
74766,15,14058854,
75918,15,19537240,
75924,15,16151146,
75930,15,12950104,
75912,15,13494167,
77070,15,14378802,
77076,15,13837500,
77082,15,13506927,
77064,15,12766198,
79020,15,12756875,
79026,15,12494323,
79014,15,13170468,
79008,15,13257552,
82176,15,13673385,
82182,15,13746198,
82188,15,13119375,
82194,15,13122136,
88764,15,14332344,
88770,15,15341562,
94650,15,13362760,
94644,15,15603698,
99780,15,12768490,
99786,15,15846979,
99972,15,12669375,
99978,15,12443282,
3924,15,12856198,
3930,15,12563125,
10860,15,14406511,
10866,15,14617083,
15540,15,12684583,
15546,15,12710937,
15420,15,14730469,
15426,15,15241250,
21210,15,12274948,
21204,15,13739271,
25146,15,13512708,
25140,15,15112187,
26052,15,12894636,
26058,15,12646354,
26124,15,12665625,
26130,15,12154584,
26844,15,12461823,
26850,15,12515573,
27564,15,14609740,
27570,15,13650417,
28308,15,14135782,
28314,15,13315520,
29580,15,12556146,
29586,15,12494323,
29634,15,14186250,
29628,15,15230521,
94812,15,13043854,
88758,15,14277709,
88752,15,14311198,
94638,15,13057031,
94632,15,15060260,
99768,15,14846563,
99774,15,13557500,
3720,15,12816771,
3726,15,12531666,
3732,15,13223229,
3738,15,13082604,
10722,15,12896093,
10704,15,13123594,
10710,15,13639375,
10716,15,13305938,
15390,15,13252187,
15396,15,13486562,
15384,15,13078542,
15402,15,12683334,
21168,15,14867656,
21180,15,13295416,
21174,15,14150469,
21186,15,13256718,
25110,15,13798333,
25116,15,13897240,
25122,15,12970261,
25104,15,12607031,
26016,15,13304948,
26022,15,13665053,
26028,15,13022969,
26034,15,12909479,
26778,15,12958437,
26760,15,12779584,
26766,15,13897031,
26772,15,14424583,
27480,15,13215260,
27486,15,13810521,
27492,15,13068385,
27498,15,12558229,
28206,15,12657500,
28212,15,12294583,
28200,15,12703125,
29508,15,14936563,
29514,15,14600573,
29502,15,12451146,
29496,15,13682917,
31752,15,13089792,
31758,15,13192344,
31764,15,12495053,
33198,15,12580208,
33204,15,12423802,
33192,15,12926979,
31872,15,13987031,
31878,15,12446562,
31884,15,12259583,
29688,15,16986198,
29694,15,16710209,
29700,15,15639792,
29520,15,13636770,
29532,15,12756875,
29526,15,13357709,
28224,15,12648021,
28230,15,12341927,
28236,15,12311771,
28296,15,12545885,
28302,15,12418646,
28308,15,12560052,
27552,15,12554323,
27558,15,14130938,
27564,15,13679010,
27648,15,14064844,
27660,15,13074635,
27654,15,13970157,
26928,15,12692969,
26934,15,12916354,
26940,15,12783594,
26952,15,12777500,
26958,15,12734166,
26964,15,13011979,
26184,15,12833854,
26190,15,12280364,
26196,15,12468021,
26208,15,12772761,
26214,15,12665313,
26220,15,14662240,
33210,15,12881354,
33816,15,12596250,
33822,15,12162709,
33828,15,12507708,
33834,15,12251198,
34398,15,15753958,
34404,15,15478698,
34392,15,13061354,
35358,15,12865886,
35352,15,13541615,
35364,15,12663542,
36102,15,12530469,
36108,15,14996042,
36096,15,12426042,
36792,15,13691823,
36798,15,13686875,
36804,15,13656771,
36810,15,12704323,
37524,15,13536302,
37530,15,12355572,
37518,15,12467031,
37512,15,12900365,
38964,15,14361094,
38958,15,15196771,
38970,15,13923073,
38952,15,17221458,
39102,15,14180052,
39108,15,13629792,
38982,15,12778282,
38988,15,12441719,
37542,15,12650104,
37548,15,13697396,
37590,15,12422292,
37596,15,12494166,
37614,15,14552865,
37620,15,13723281,
37662,15,13034219,
37668,15,12315000,
36894,15,15429063,
36900,15,15287031,
36918,15,12614479,
36924,15,12442032,
36966,15,12524584,
36972,15,13024635,
36990,15,15371562,
36222,15,13247448,
36228,15,12170886,
36246,15,12546667,
36252,15,12070521,
36276,15,13842812,
36270,15,14668489,
35526,15,15407969,
35532,15,14471302,
35550,15,13883333,
35556,15,13028438,
35574,15,12589375,
35580,15,12596875,
34758,15,12601354,
34764,15,12206198,
34782,15,12381458,
34788,15,13356458,
34812,15,13927604,
34806,15,14723230,
34836,15,12878281,
34830,15,13363906,
34740,15,13999532,
34734,15,15062292,
34710,15,13703437,
34716,15,14520417,
