39,57359427,,,,,
26,19325260,,,,,,
26,20847344,,,,,,
26,18112031,,,,,,
26,15665209,,,,,,
26,16243333,,,,,,
26,15484427,,,,,,
26,15584636,,,,,,
26,15750989,,,,,,
26,15137396,,,,,,
26,19659636,,,,,,
26,14640365,,,,,,
26,16771875,,,,,,
26,16596718,,,,,,
26,15923750,,,,,,
26,17937708,,,,,,
26,18339584,,,,,,
26,16817865,,,,,,
26,17520573,,,,,,
26,15465000,,,,,,
26,17392864,,,,,,
26,19329740,,,,,,
26,19868958,,,,,,
26,17349010,,,,,,
26,16833907,,,,,,
26,17261719,,,,,,
26,19232657,,,,,,
26,18077032,,,,,,
26,19553958,,,,,,
26,18751510,,,,,,
26,19953802,,,,,,
26,19520052,,,,,,
26,19595677,,,,,,
26,19627760,,,,,,
26,18225625,,,,,,
26,19152657,,,,,,
26,17891354,,,,,,
26,17236250,,,,,,
26,17759322,,,,,,
26,19717656,,,,,,
26,17932813,,,,,,
26,18859636,,,,,,
26,21229792,,,,,,
26,17459896,,,,,,
26,19019583,,,,,,
26,17026875,,,,,,
26,16894636,,,,,,
26,16184270,,,,,,
26,20028541,,,,,,
26,18321042,,,,,,
26,20605677,,,,,,
26,16125260,,,,,,
26,18529895,,,,,,
26,15687500,,,,,,
26,17124010,,,,,,
26,18954844,,,,,,
26,19620885,,,,,,
26,18667135,,,,,,
26,20125000,,,,,,
26,18315833,,,,,,
26,18670990,,,,,,
26,18429010,,,,,,
26,17313230,,,,,,
26,16912188,,,,,,
26,20401458,,,,,,
22,17301979,,,,,,
22,17182552,,,,,,
26,15844427,,,,,,
26,17983802,,,,,,
26,17151250,,,,,,
26,17788854,,,,,,
26,17651562,,,,,,
22,16655625,,,,,,
22,18706302,,,,,,
26,18010834,,,,,,
26,19821719,,,,,,
26,17638281,,,,,,
26,17633593,,,,,,
26,15520416,,,,,,
22,18738646,,,,,,
22,18298906,,,,,,
22,18420365,,,,,,
26,18832343,,,,,,
26,18782760,,,,,,
26,17197344,,,,,,
26,19964896,,,,,,
26,17789375,,,,,,
26,17375989,,,,,,
26,18134583,,,,,,
26,16455990,,,,,,
22,17883437,,,,,,
22,17707032,,,,,,
22,18774635,,,,,,
22,19852344,,,,,,
26,18227969,,,,,,
26,17557761,,,,,,
26,17321615,,,,,,
26,18392031,,,,,,
26,17536250,,,,,,
26,19544271,,,,,,
26,21752292,,,,,,
26,15653229,,,,,,
22,14579896,,,,,,
22,18195573,,,,,,
26,21012708,,,,,,
26,19991718,,,,,,
26,17630885,,,,,,
26,19904896,,,,,,
22,13436927,,,,,,
22,14458229,,,,,,
22,17547760,,,,,,
22,19870469,,,,,,
22,20901145,,,,,,
26,18306615,,,,,,
26,18313646,,,,,,
22,15742968,,,,,,
22,19484427,,,,,,
22,21730989,,,,,,
26,18212500,,,,,,
26,20069792,,,,,,
26,14748282,,,,,,
26,20155729,,,,,,
26,17216614,,,,,,
26,17806615,,,,,,
26,17667344,,,,,,
26,19768855,,,,,,
22,17630156,,,,,,
22,17557812,,,,,,
26,18384115,,,,,,
26,17765990,,,,,,
26,19717396,,,,,,
26,20873802,,,,,,
22,18917136,,,,,,
22,18092760,,,,,,
26,18583698,,,,,,
26,17730937,,,,,,
26,14501406,,,,,,
22,17146928,,,,,,
22,21088594,,,,,,
26,22049792,,,,,,
22,15376822,,,,,,
22,16583021,,,,,,
26,16809114,,,,,,
26,19492552,,,,,,
26,17035156,,,,,,
26,17021615,,,,,,
22,18065781,,,,,,
26,15889219,,,,,,
26,18384948,,,,,,
26,18701667,,,,,,
26,19522500,,,,,,
26,19730364,,,,,,
26,24328490,,,,,,
26,21975364,,,,,,
26,22586771,,,,,,
22,21001198,,,,,,
22,19007709,,,,,,
22,17528125,,,,,,
22,18473698,,,,,,
26,16527916,,,,,,
26,20563906,,,,,,
26,14026927,,,,,,
22,15479271,,,,,,
26,20493385,,,,,,
26,18048750,,,,,,
26,18986615,,,,,,
26,16092968,,,,,,
26,13697708,,,,,,
22,16248386,,,,,,
22,16243490,,,,,,
22,19380156,,,,,,
22,14140677,,,,,,
22,16640261,,,,,,
22,22304167,,,,,,
26,15042760,,,,,,
26,17650521,,,,,,
26,20613906,,,,,,
26,19098750,,,,,,
26,17516614,,,,,,
26,17678125,,,,,,
22,17804948,,,,,,
22,16723334,,,,,,
22,21219688,,,,,,
26,16895000,,,,,,
26,18124948,,,,,,
26,18253698,,,,,,
26,20723282,,,,,,
26,14828489,,,,,,
22,14813229,,,,,,
22,17046667,,,,,,
22,13880104,,,,,,
26,20611146,,,,,,
26,19631302,,,,,,
26,24239688,,,,,,
22,14545885,,,,,,
22,21443802,,,,,,
26,16233854,,,,,,
26,16999479,,,,,,
26,16871823,,,,,,
22,16135313,,,,,,
22,14610261,,,,,,
26,17086771,,,,,,
26,17021614,,,,,,
22,17370625,,,,,,
22,18805208,,,,,,
26,16322239,,,,,,
26,16182553,,,,,,
18,18329428,,,,,,
18,17082344,,,,,,
26,19158802,,,,,,
26,18316771,,,,,,
26,19929375,,,,,,
22,15404896,,,,,,
22,17622395,,,,,,
22,21326875,,,,,,
26,18507865,,,,,,
26,16867500,,,,,,
26,15554375,,,,,,
26,17269896,,,,,,
26,15813542,,,,,,
26,16672761,,,,,,
26,19781979,,,,,,
26,20166823,,,,,,
26,20940468,,,,,,
26,21240209,,,,,,
22,19351979,,,,,,
26,25210730,,,,,,
22,21989063,,,,,,
22,16522083,,,,,,
26,16835677,,,,,,
22,18255156,,,,,,
22,17536719,,,,,,
22,20237865,,,,,,
26,14606250,,,,,,
26,16842865,,,,,,
26,18225469,,,,,,
26,18943594,,,,,,
26,18462552,,,,,,
26,15508854,,,,,,
22,16354114,,,,,,
22,17974375,,,,,,
22,18733282,,,,,,
22,17253073,,,,,,
22,20618802,,,,,,
26,15918438,,,,,,
26,15445469,,,,,,
26,18204844,,,,,,
26,20114947,,,,,,
22,21122813,,,,,,
26,16657240,,,,,,
26,16270729,,,,,,
22,16169687,,,,,,
26,18675677,,,,,,
22,15757813,,,,,,
22,19929739,,,,,,
26,17960625,,,,,,
26,18369583,,,,,,
22,16714532,,,,,,
22,17064896,,,,,,
26,17958230,,,,,,
22,18760469,,,,,,
26,18894323,,,,,,
26,18981198,,,,,,
26,16539375,,,,,,
22,16772240,,,,,,
26,19463490,,,,,,
22,17964427,,,,,,
22,16399479,,,,,,
22,15422709,,,,,,
26,20214271,,,,,,
26,21531302,,,,,,
22,21051823,,,,,,
26,20878750,,,,,,
26,19511250,,,,,,
26,16059843,,,,,,
26,16560313,,,,,,
22,15278646,,,,,,
26,16783958,,,,,,
22,20289947,,,,,,
22,17919635,,,,,,
26,18699583,,,,,,
26,17712552,,,,,,
22,15515416,,,,,,
26,18486094,,,,,,
26,17729063,,,,,,
26,17455364,,,,,,
26,19754480,,,,,,
26,16096667,,,,,,
26,16145105,,,,,,
26,17433020,,,,,,
26,16078594,,,,,,
26,18586354,,,,,,
26,19636458,,,,,,
26,18556615,,,,,,
26,20567969,,,,,,
26,19883958,,,,,,
26,15673854,,,,,,
26,14311927,,,,,,
26,20994063,,,,,,
26,18317917,,,,,,
26,19732084,,,,,,
26,19183906,,,,,,
26,15887552,,,,,,
26,15717500,,,,,,
26,17664219,,,,,,
26,17694844,,,,,,
26,18444271,,,,,,
26,17297448,,,,,,
22,21736563,,,,,,
22,22237292,,,,,,
26,22021407,,,,,,
26,20460417,,,,,,
26,21137968,,,,,,
26,17962500,,,,,,
22,20382916,,,,,,
22,15518229,,,,,,
26,15413177,,,,,,
26,17740052,,,,,,
26,16947396,,,,,,
26,18543854,,,,,,
26,17752552,,,,,,
26,16602136,,,,,,
26,15355468,,,,,,
26,17213177,,,,,,
26,18986093,,,,,,
26,15917969,,,,,,
26,16721927,,,,,,
26,18645573,,,,,,
26,18968333,,,,,,
22,15314739,,,,,,
22,19957032,,,,,,
26,16402865,,,,,,
26,18595104,,,,,,
26,17979011,,,,,,
26,18330885,,,,,,
26,17448229,,,,,,
