slot, allocate quality, display quality,pose,delay, throughput, video size
16124,3,3,(1030 635 -6.528778 8.466629),0.0,0.0,0
16125,3,0,(null),0.0,0.0,0
16126,3,4,(1030 635 -6.07576 8.1085205),0.0,0.0,0
16127,3,4,(1030 635 -5.720154 8.027161),0.0,0.0,0
16128,4,4,(1030 635 -5.3032227 7.9147186),4.952083,5.7220325,29733
16129,4,4,(1030 635 -4.9554443 7.708191),1.346355,14.109467,20389
16130,4,4,(1030 635 -4.810089 7.387451),0.0,0.0,0
16131,4,4,(1030 635 -4.8001556 7.070999),0.0,0.0,0
16132,4,4,(1030 635 -4.7169037 6.839386),0.0,0.0,0
16133,4,4,(1030 635 -4.52713 6.491501),0.0,0.0,0
16134,4,4,(1030 635 -4.3474274 6.1080933),0.0,0.0,0
16135,4,4,(1030 640 -4.205475 5.7695312),6.022916,4.7816525,30197
16136,4,4,(1030 640 -4.2430725 5.2868347),4.201042,4.634286,20864
16137,4,4,(1030 640 -4.3496094 4.864502),0.0,0.0,0
16138,4,4,(1030 645 -4.344589 4.7114716),5.864583,4.7804747,29433
16139,4,4,(1030 645 -4.3240204 4.5519714),5.354688,3.5222726,20257
16140,4,4,(1030 645 -4.3137207 4.307556),0.0,0.0,0
16141,4,4,(1030 645 -4.086075 3.7815552),0.0,0.0,0
16142,4,4,(1030 650 -3.8041077 3.1851654),5.027604,5.508562,29092
16143,4,4,(1030 650 -3.694275 2.9777374),1.244792,15.106629,20181
16144,4,4,(1030 655 -3.6003265 2.8323517),6.140625,4.442647,28676
16145,4,4,(1030 655 -3.5829163 2.5920715),6.276042,2.9447753,19880
16146,4,4,(1030 655 -3.6060028 2.2719269),0.0,0.0,0
16147,4,4,(1030 660 -3.5839386 1.9774475),4.139583,6.4649916,28159
16148,4,4,(1030 660 -3.5565796 1.7420807),2.963021,6.098625,19464
16149,4,4,(1030 660 -3.5419312 1.4140472),0.0,0.0,0
16150,4,4,(1030 660 -3.5311737 1.0705872),0.0,0.0,0
16151,4,4,(1030 665 -3.486786 0.65509033),5.210417,5.154805,28256
16152,4,4,(1030 665 -3.4132843 0.1023407),0.903125,20.17607,19611
16153,4,4,(1030 665 -3.3506012 -0.42442322),0.0,0.0,0
16154,4,4,(1030 670 -3.3001099 -0.89479065),4.207291,6.268466,27770
16155,4,4,(1030 670 -3.2161865 -1.2790375),0.752083,23.992,19419
16156,4,4,(1030 670 -3.0838776 -1.6809998),0.0,0.0,0
16157,4,4,(1030 670 -2.9572906 -2.1365204),0.0,0.0,0
16158,4,4,(1030 675 -2.8516083 -2.679428),2.075,12.642493,27620
16159,4,4,(1030 675 -2.8748627 -2.9821777),5.3375,3.3271132,19155
16160,4,4,(1030 675 -2.9299774 -3.1646118),0.0,0.0,0
16161,4,4,(1030 680 -3.0055237 -3.766571),4.513021,5.8719244,27894
16162,4,4,(1030 680 -3.139511 -4.424423),1.952605,13.575785,27894
16163,4,4,(1030 680 -3.2404022 -4.935364),4.792708,3.7442195,19343
16164,4,4,(1030 685 -3.4257355 -5.4586945),1.801042,14.505801,27518
16165,4,4,(1030 685 -3.4686432 -5.896179),4.013541,4.3857245,19000
16166,4,4,(1030 685 -3.4046478 -6.269928),0.0,0.0,0
16167,4,4,(1030 685 -3.4214172 -6.677231),0.0,0.0,0
16168,4,4,(1030 690 -3.5048828 -6.815262),5.457292,4.7365866,27244
16169,4,4,(1030 690 -3.6027832 -6.693573),1.076562,16.16015,18789
16170,4,4,(1030 690 -3.670517 -6.669571),0.0,0.0,0
16171,4,4,(1030 695 -3.7490845 -6.7248383),8.234896,3.117055,27067
16172,4,4,(1030 695 -3.749527 -6.7134857),2.040625,12.584435,27067
