66.84551,
65.97529,
66.68153,
66.23837,
66.666664,
66.45921,
66.6221,
66.2237,
65.34091,
66.69641,
64.09432,
66.00442,
63.87524,
66.03357,
64.10806,
64.71861,
66.44444,
66.68153,
66.666664,
65.7721,
63.066864,
26.644093,
55.85653,
64.92943,
60.221554,
64.957634,
65.786575,
63.29382,
64.52309,
64.09432,
63.080166,
65.52706,
64.71861,
64.91533,
65.34091,
66.45921,
64.50917,
25.453308,
62.907635,
21.41067,
64.52309,
41.161896,
65.36948,
64.495255,
66.45921,
64.495255,
66.68153,
66.6518,
64.27343,
65.786575,
66.23837,
65.58456,
66.01899,
66.42968,
64.94353,
66.25305,
63.87524,
66.01899,
66.2237,
