0,124988
1,97569
2,76844
3,60379
4,48104
5,30269
6,18023
7,11378
8,7895
9,5671
10,130196
11,102412
12,80986
13,64062
14,50616
15,32082
16,18817
17,11551
18,7813
19,5645
20,118968
21,91542
22,71602
23,55465
24,42693
25,25935
26,15000
27,9588
28,6600
29,5020
30,118154
31,90783
32,70388
33,54239
34,41757
35,25402
36,14726
37,9403
38,6584
39,5036
40,129653
41,101190
42,79937
43,62611
44,49500
45,31237
46,18424
47,11502
48,7968
49,5492
50,134677
51,105958
52,84326
53,66188
54,52200
55,32762
56,18961
57,11751
58,7849
59,5574
60,119060
61,91579
62,71227
63,54841
64,42335
65,25487
66,14623
67,9257
68,6446
69,4898
70,119091
71,91417
72,70815
73,54554
74,42352
75,25569
76,14594
77,9178
78,6506
79,4817
80,151142
81,119471
82,94114
83,74248
84,58387
85,37084
86,21721
87,12882
88,8741
89,6099
90,147251
91,116463
92,92003
93,72410
94,57366
95,36300
96,21643
97,13256
98,9107
99,6437
100,147835
101,116688
102,91945
103,71908
104,56365
105,35308
106,21064
107,13068
108,9110
109,6393
110,156219
111,123745
112,97949
113,77134
114,61043
115,38817
116,22993
117,14313
118,9812
119,6844
120,150724
121,118852
122,94141
123,74151
124,58854
125,37350
126,21920
127,13014
128,8700
129,5913
130,146380
131,115278
132,91052
133,71916
134,56850
135,35949
136,21436
137,13088
138,8828
139,6302
140,147514
141,116578
142,91371
143,71628
144,56275
145,35159
146,20749
147,12869
148,9079
149,6314
150,156446
151,124231
152,98665
153,77568
154,61574
155,39114
156,23455
157,14492
158,9832
159,6990
160,150642
161,118485
162,93783
163,73528
164,58470
165,36881
166,21794
167,12992
168,8639
169,5834
170,147524
171,116449
172,92097
173,72414
174,57244
175,36249
176,21693
177,13087
178,9127
179,6295
180,148191
181,116319
182,91392
183,71204
184,56122
185,34809
186,20728
187,12796
188,9178
189,6451
190,157439
191,124801
192,99086
193,77825
194,61482
195,39009
196,23390
197,14402
198,10007
199,6888
200,149838
201,118398
202,93833
203,73586
204,58300
205,36969
206,21582
207,12848
208,8729
209,5911
210,147478
211,116392
212,91956
213,72624
214,57308
215,36327
216,21748
217,13155
218,9024
219,6362
220,147851
221,116150
222,91545
223,71581
224,56155
225,35054
226,20776
227,13186
228,9176
229,6524
230,157191
231,124597
232,98529
233,77503
234,61540
235,38970
236,23249
237,14278
238,10006
239,7035
240,153063
241,120172
242,95017
243,74515
244,58880
245,37048
246,21754
247,12861
248,8819
249,5946
250,149233
251,117487
252,92726
253,72665
254,57637
255,36541
256,21650
257,13203
258,9146
259,6307
260,149113
261,117275
262,92425
263,71872
264,56360
265,35434
266,21051
267,12992
268,9200
269,6545
270,157454
271,124562
272,98527
273,77582
274,61180
275,38752
276,23206
277,14286
278,9837
279,6903
280,151043
281,118714
282,93806
283,73673
284,58301
285,36845
286,21721
287,13030
288,8802
289,6120
290,148337
291,117015
292,92321
293,72762
294,57445
295,36409
296,21817
297,13299
298,9091
299,6323
300,148297
301,117229
302,91778
303,71836
304,56689
305,35316
306,21120
307,13036
308,9326
309,6502
310,156799
311,124193
312,98308
313,77378
314,61132
315,39063
316,23400
317,14286
318,9890
319,6969
320,150934
321,119080
322,93809
323,73733
324,58233
325,37024
326,21621
327,13033
328,8679
329,6023
330,148706
331,117651
332,93074
333,73106
334,57631
335,36556
336,21910
337,13341
338,9165
339,6478
340,147832
341,116847
342,91795
343,71757
344,56497
345,35347
346,21051
347,13168
348,9169
349,6418
350,156973
351,124646
352,98770
353,77482
354,61346
355,38875
356,23350
357,14355
358,9903
359,6942
360,150430
361,118870
362,93721
363,73873
364,58214
365,36926
366,21643
367,12985
368,8803
369,5978
370,147758
371,116919
372,92214
373,72764
374,57831
375,36533
376,21941
377,13359
378,9210
379,6560
380,147201
381,115749
382,91243
383,71245
384,56185
385,35235
386,20905
387,13127
388,9162
389,6525
390,156377
391,123950
392,98000
393,77167
394,61022
395,38750
396,23244
397,14295
398,9855
399,6800
400,149928
401,118090
402,93470
403,73519
404,58197
405,36939
406,21673
407,12970
408,8787
409,6069
410,147425
411,116391
412,91948
413,72559
414,57439
415,36544
416,21971
417,13551
418,9191
419,6477
420,148651
421,116917
422,92337
423,72126
424,56841
425,35787
426,21075
427,13153
428,9384
