slot, allocate quality, display quality,pose,delay, throughput, video size
1,1,0,(null),1.921562,8.412951,17559
2,1,0,(null),1.559323,10.3673315,17559
3,1,5,(0 0 -3.2963104 63.50255),1.159219,13.947077,17559
4,1,5,(0 0 -3.2963104 63.50255),1.315521,3.1874504,5591
5,5,0,(null),7.469479,10.610832,80648
6,1,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
7,1,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
8,2,0,(null),1.397448,16.029963,23776
9,6,8,(0 0 -3.2963104 63.50255),5.973594,20.88034,126110
10,3,8,(0 0 -3.2963104 63.50255),1.822396,17.370487,33036
11,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,178904
12,8,8,(0 0 -3.2963104 63.50255),6.682552,8.042092,55135
13,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
14,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
15,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
16,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
17,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
18,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
19,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
20,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
21,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
22,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
23,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
24,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
25,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
26,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
27,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
28,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
29,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
30,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
31,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
32,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
33,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
34,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
35,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
36,8,8,(0 0 -3.8227997 63.651947),0.0,0.0,0
37,8,8,(0 0 -4.4809265 63.8387),0.0,0.0,0
38,8,8,(0 0 -4.8757935 63.950745),0.0,0.0,0
39,8,8,(0 0 -5.2706604 64.06279),0.0,0.0,0
40,8,8,(0 0 -6.200363 64.67801),0.0,0.0,0
41,8,8,(0 0 -6.744446 65.15996),0.0,0.0,0
42,8,8,(0 0 -6.69046 65.27826),0.0,0.0,0
43,8,8,(0 0 -6.8459473 65.51425),0.0,0.0,0
44,8,8,(0 0 -6.931183 65.765015),0.0,0.0,0
45,8,8,(0 0 -6.8515778 65.931885),0.0,0.0,0
46,8,8,(0 0 -6.826721 66.08278),0.0,0.0,0
47,8,8,(0 0 -6.7947083 66.26706),0.0,0.0,0
48,8,8,(0 0 -6.725525 66.36441),0.0,0.0,0
49,8,8,(0 0 -6.725464 66.340546),0.0,0.0,0
50,8,8,(0 0 -6.7317505 66.25905),0.0,0.0,0
51,8,8,(0 0 -6.71463 66.21083),0.0,0.0,0
52,8,8,(0 0 -6.715927 66.19055),0.0,0.0,0
53,8,8,(0 0 -6.8056335 65.96274),0.0,0.0,0
54,8,8,(0 0 -6.872162 65.71701),0.0,0.0,0
55,8,8,(0 0 -6.9482117 65.5889),0.0,0.0,0
56,8,8,(0 0 -7.0245056 65.44385),0.0,0.0,0
57,8,8,(0 0 -7.061142 65.29379),0.0,0.0,0
58,8,8,(0 0 -7.172928 65.10376),0.0,0.0,0
59,8,8,(0 0 -7.3021393 64.97183),0.0,0.0,0
60,8,8,(0 0 -7.3465424 64.79617),0.0,0.0,0
61,8,8,(0 0 -7.3258514 64.66647),0.0,0.0,0
62,8,8,(0 0 -7.2769165 64.56123),0.0,0.0,0
63,8,8,(0 0 -7.241684 64.39517),0.0,0.0,0
64,8,8,(0 0 -7.143997 64.24594),0.0,0.0,0
